ID,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Label
12,30,Travel_Rarely,Research & Development,3,3,Technical Degree,297,4,Female,3,1,Research Scientist,1,Single,2657,5,Y,Yes,11,3,3,80,0,8,5,3,5,2,0,4,1
13,54,Travel_Rarely,Research & Development,8,4,Life Sciences,578,3,Female,3,2,Laboratory Technician,3,Single,3780,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0,0
14,34,Travel_Rarely,Research & Development,1,3,Life Sciences,1447,4,Female,2,1,Laboratory Technician,2,Married,3294,5,Y,No,17,3,1,80,1,7,2,2,5,4,0,2,0
15,47,Travel_Rarely,Sales,2,4,Life Sciences,925,4,Female,2,1,Sales Representative,4,Single,3294,1,Y,Yes,18,3,1,80,0,3,3,2,3,2,1,2,0
16,36,Non-Travel,Sales,15,4,Marketing,2036,4,Male,1,2,Sales Executive,4,Divorced,5406,1,Y,No,24,4,1,80,1,15,4,2,15,12,11,11,0
17,35,Travel_Rarely,Research & Development,1,4,Medical,1172,4,Male,2,1,Laboratory Technician,3,Married,2258,6,Y,No,12,3,2,80,1,10,2,3,8,0,1,7,0
18,29,Travel_Rarely,Sales,19,3,Life Sciences,1497,3,Male,2,2,Sales Executive,3,Divorced,8620,1,Y,No,14,3,3,80,2,10,3,3,10,7,0,4,0
19,56,Travel_Rarely,Research & Development,14,4,Life Sciences,161,2,Female,3,1,Research Scientist,2,Married,4963,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3,1
20,45,Travel_Rarely,Research & Development,10,2,Life Sciences,544,1,Male,3,1,Research Scientist,4,Married,2654,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2,0
21,46,Travel_Rarely,Research & Development,1,4,Medical,288,4,Male,3,3,Healthcare Representative,1,Divorced,9396,7,Y,No,16,3,3,80,1,17,3,3,4,2,0,3,0
22,39,Travel_Rarely,Research & Development,10,1,Medical,1800,3,Male,3,3,Research Director,3,Single,13464,7,Y,No,21,4,3,80,0,9,3,3,4,3,2,2,0
23,52,Travel_Rarely,Sales,3,4,Marketing,776,3,Male,2,4,Manager,1,Married,16856,1,Y,No,11,3,1,80,0,34,3,4,34,6,1,16,0
24,32,Non-Travel,Research & Development,1,3,Life Sciences,951,3,Female,2,1,Laboratory Technician,2,Married,2332,6,Y,No,20,4,3,80,0,5,3,3,3,0,0,2,0
25,46,Travel_Frequently,Research & Development,18,1,Medical,624,1,Female,3,3,Healthcare Representative,3,Married,10527,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2,0
26,28,Travel_Rarely,Research & Development,17,2,Medical,536,3,Male,3,2,Laboratory Technician,1,Divorced,4558,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8,0
27,29,Travel_Rarely,Research & Development,23,2,Life Sciences,824,3,Male,4,1,Research Scientist,3,Married,2700,1,Y,No,24,4,3,80,1,10,3,3,10,7,0,7,0
28,39,Travel_Rarely,Sales,24,1,Marketing,2056,2,Female,2,4,Sales Executive,4,Married,12031,0,Y,No,11,3,1,80,1,21,2,2,20,9,9,6,0
29,33,Travel_Rarely,Research & Development,9,3,Medical,1238,1,Male,3,1,Research Scientist,4,Married,2781,0,Y,No,13,3,2,80,1,15,5,3,14,10,4,10,0
30,38,Travel_Rarely,Sales,3,3,Life Sciences,307,1,Male,3,3,Sales Executive,3,Divorced,10609,0,Y,No,12,3,3,80,2,17,6,2,16,10,5,13,0
31,27,Travel_Frequently,Research & Development,5,2,Life Sciences,1850,4,Female,3,1,Laboratory Technician,4,Single,2379,0,Y,Yes,14,3,3,80,0,6,3,2,5,4,0,2,0
32,19,Travel_Frequently,Sales,1,1,Technical Degree,235,3,Female,1,1,Sales Representative,1,Single,2325,0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0,1
33,54,Travel_Rarely,Research & Development,17,3,Technical Degree,1013,3,Female,3,3,Manufacturing Director,3,Married,10739,8,Y,No,11,3,3,80,1,22,2,3,10,7,0,8,0
34,53,Travel_Rarely,Research & Development,23,4,Life Sciences,901,4,Female,3,4,Research Director,4,Single,14275,6,Y,No,18,3,3,80,0,33,0,3,12,9,3,8,0
35,33,Non-Travel,Sales,8,1,Life Sciences,1044,2,Female,2,1,Sales Representative,4,Single,2342,0,Y,No,19,3,4,80,0,3,2,2,2,2,2,2,0
36,29,Travel_Rarely,Sales,2,3,Medical,366,1,Male,2,2,Sales Executive,2,Married,6644,2,Y,No,19,3,2,80,2,10,2,3,0,0,0,0,0
37,33,Travel_Frequently,Research & Development,3,3,Life Sciences,702,1,Male,3,1,Research Scientist,1,Single,3348,1,Y,Yes,11,3,1,80,0,10,3,3,10,8,9,7,1
38,42,Travel_Rarely,Research & Development,29,3,Life Sciences,836,2,Male,3,2,Manufacturing Director,2,Married,4434,1,Y,No,13,3,4,80,1,10,3,2,9,8,7,8,0
39,34,Travel_Frequently,Research & Development,10,4,Technical Degree,1597,4,Male,2,2,Healthcare Representative,3,Married,5063,1,Y,No,14,3,2,80,1,8,3,2,8,2,7,7,0
40,42,Travel_Rarely,Sales,5,2,Marketing,1029,4,Male,3,5,Manager,3,Married,18303,6,Y,No,13,3,2,80,0,21,3,4,1,0,0,0,0
41,26,Travel_Rarely,Sales,1,3,Life Sciences,476,3,Male,3,2,Sales Executive,3,Married,5296,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7,0
42,55,Travel_Rarely,Research & Development,1,4,Medical,1424,2,Male,4,4,Research Director,4,Divorced,14732,2,Y,No,13,3,4,80,2,31,4,4,7,7,0,0,0
43,50,Travel_Frequently,Sales,1,4,Life Sciences,2044,2,Male,3,2,Sales Executive,3,Divorced,6728,7,Y,No,12,3,4,80,2,12,3,3,6,3,0,1,1
44,37,Travel_Rarely,Research & Development,7,4,Medical,1885,4,Male,3,2,Research Scientist,1,Married,4284,5,Y,Yes,22,4,3,80,1,16,2,3,5,3,0,4,0
45,45,Non-Travel,Sales,26,3,Marketing,1612,1,Male,2,2,Sales Executive,1,Married,4385,1,Y,No,15,3,1,80,1,10,2,3,10,7,4,5,0
46,43,Travel_Frequently,Sales,15,3,Life Sciences,754,4,Male,2,2,Sales Executive,4,Married,6804,3,Y,No,18,3,3,80,1,7,5,3,2,2,2,2,0
47,39,Travel_Rarely,Sales,5,3,Technical Degree,42,4,Male,3,2,Sales Representative,4,Married,2086,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,1
48,38,Travel_Rarely,Sales,2,2,Marketing,1125,4,Male,3,3,Sales Executive,2,Single,7351,7,Y,No,16,3,3,80,0,10,2,3,1,0,0,0,0
49,31,Travel_Rarely,Research & Development,1,4,Medical,95,3,Male,3,1,Research Scientist,2,Single,2501,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,0
50,51,Travel_Rarely,Research & Development,1,3,Life Sciences,353,3,Male,3,1,Research Scientist,4,Married,2723,1,Y,No,11,3,2,80,0,1,0,2,1,0,0,0,0
51,36,Travel_Rarely,Research & Development,1,3,Technical Degree,1237,3,Female,1,3,Manufacturing Director,1,Divorced,10252,2,Y,Yes,21,4,3,80,1,17,2,3,7,7,7,7,0
52,39,Travel_Rarely,Research & Development,6,1,Medical,2062,4,Male,2,3,Healthcare Representative,1,Married,9991,4,Y,No,15,3,1,80,1,9,5,3,7,7,1,7,0
53,32,Travel_Frequently,Research & Development,24,4,Life Sciences,772,1,Male,3,2,Laboratory Technician,4,Married,5309,1,Y,No,15,3,4,80,2,10,2,3,10,8,4,7,0
54,27,Travel_Rarely,Research & Development,8,3,Medical,1647,2,Female,4,1,Research Scientist,3,Married,3517,7,Y,No,17,3,1,80,0,5,0,3,3,2,0,2,0
55,39,Non-Travel,Research & Development,9,3,Life Sciences,2022,4,Male,3,5,Manager,4,Single,19431,2,Y,No,13,3,3,80,0,21,3,2,6,0,1,3,0
56,34,Travel_Rarely,Research & Development,7,4,Medical,1577,1,Male,3,1,Research Scientist,4,Single,2972,1,Y,No,13,3,3,80,0,1,4,1,1,0,0,0,0
57,34,Travel_Rarely,Research & Development,27,2,Medical,247,4,Female,3,1,Research Scientist,2,Single,2311,2,Y,No,15,3,4,80,0,9,3,3,3,2,1,2,0
58,43,Travel_Rarely,Sales,16,3,Marketing,327,4,Female,3,4,Manager,4,Married,16064,5,Y,Yes,22,4,3,80,1,22,3,3,17,13,1,9,0
59,31,Travel_Rarely,Research & Development,2,4,Life Sciences,1721,2,Male,3,1,Laboratory Technician,3,Married,3477,1,Y,No,14,3,4,80,1,6,2,4,5,2,0,3,0
60,31,Travel_Rarely,Sales,6,4,Life Sciences,163,2,Male,1,2,Sales Executive,3,Married,6172,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,1
61,38,Travel_Rarely,Research & Development,1,4,Life Sciences,724,2,Female,4,2,Healthcare Representative,4,Single,7625,0,Y,No,13,3,3,80,0,10,4,2,9,7,1,8,0
62,36,Non-Travel,Sales,1,5,Medical,479,4,Female,3,2,Sales Executive,4,Single,6653,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,0
63,42,Travel_Rarely,Research & Development,24,3,Medical,605,4,Male,3,3,Manufacturing Director,1,Married,7406,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8,0
64,43,Travel_Frequently,Sales,26,2,Life Sciences,158,3,Male,3,4,Manager,4,Married,16959,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12,0
65,36,Travel_Frequently,Sales,3,4,Medical,481,1,Male,2,3,Sales Executive,4,Married,9699,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12,0
66,51,Travel_Rarely,Research & Development,4,4,Life Sciences,1081,1,Male,3,1,Research Scientist,3,Married,2461,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7,1
67,51,Travel_Frequently,Sales,2,3,Marketing,1391,2,Male,3,3,Sales Executive,2,Married,10596,2,Y,No,11,3,2,80,0,14,5,3,4,2,3,2,0
68,33,Travel_Frequently,Research & Development,6,3,Life Sciences,692,3,Male,3,2,Healthcare Representative,4,Divorced,7725,3,Y,No,23,4,3,80,1,15,2,1,13,11,4,7,0
69,25,Travel_Rarely,Human Resources,2,3,Human Resources,1987,3,Female,3,1,Human Resources,2,Married,2187,4,Y,No,14,3,3,80,0,6,3,3,2,0,1,2,0
70,33,Travel_Frequently,Sales,10,3,Marketing,446,2,Male,2,2,Sales Executive,4,Single,4682,3,Y,No,14,3,3,80,0,9,6,2,7,7,0,1,0
71,42,Travel_Rarely,Research & Development,13,3,Medical,1803,2,Male,4,2,Healthcare Representative,1,Married,5538,5,Y,No,18,3,3,80,2,10,2,2,0,0,0,0,0
72,20,Travel_Rarely,Sales,2,3,Medical,1657,3,Female,3,1,Sales Representative,3,Single,2783,1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2,0
73,42,Travel_Rarely,Human Resources,2,1,Technical Degree,470,3,Male,3,1,Human Resources,3,Divorced,2696,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0,0
74,41,Travel_Rarely,Sales,3,3,Life Sciences,2037,3,Male,2,2,Sales Executive,2,Divorced,8938,2,Y,No,11,3,3,80,1,14,5,3,5,4,0,4,0
75,27,Travel_Rarely,Research & Development,5,1,Technical Degree,844,3,Male,2,3,Research Director,4,Divorced,12808,1,Y,Yes,16,3,2,80,1,9,3,3,9,8,0,8,0
76,30,Travel_Rarely,Research & Development,1,1,Life Sciences,104,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,0
77,30,Travel_Frequently,Research & Development,5,4,Life Sciences,861,2,Male,2,1,Research Scientist,4,Divorced,3761,9,Y,No,12,3,2,80,1,10,3,2,5,4,0,3,0
78,37,Travel_Rarely,Research & Development,2,2,Other,4,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,1
79,24,Travel_Rarely,Research & Development,21,2,Technical Degree,1551,3,Male,2,1,Laboratory Technician,1,Divorced,2296,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0,0
80,38,Travel_Rarely,Research & Development,29,3,Technical Degree,273,4,Male,3,2,Manufacturing Director,4,Married,6261,3,Y,No,18,3,1,80,1,9,3,1,7,7,1,7,0
81,56,Travel_Rarely,Human Resources,8,4,Life Sciences,1338,4,Male,3,5,Manager,2,Single,19717,6,Y,No,14,3,1,80,0,36,4,3,7,3,7,7,0
82,32,Travel_Rarely,Research & Development,4,3,Life Sciences,830,3,Female,2,2,Manufacturing Director,3,Married,6162,1,Y,No,12,3,3,80,1,14,3,3,14,13,6,8,0
83,30,Travel_Rarely,Sales,2,1,Technical Degree,508,3,Male,3,1,Sales Representative,2,Married,2476,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0,0
84,38,Travel_Rarely,Research & Development,9,2,Life Sciences,245,3,Female,3,1,Laboratory Technician,4,Single,2288,1,Y,No,12,3,3,80,0,2,3,3,2,2,2,1,0
85,25,Travel_Rarely,Sales,18,1,Life Sciences,1399,1,Male,4,2,Sales Executive,3,Married,6232,2,Y,No,11,3,2,80,0,6,3,2,3,2,1,2,0
86,39,Non-Travel,Research & Development,1,3,Life Sciences,1737,4,Male,3,2,Laboratory Technician,4,Married,6472,1,Y,Yes,15,3,4,80,1,9,2,3,9,8,5,8,0
87,59,Travel_Rarely,Sales,25,3,Life Sciences,81,1,Female,3,3,Sales Executive,1,Single,7637,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,0
88,30,Travel_Rarely,Sales,8,2,Other,982,3,Male,3,3,Sales Executive,3,Divorced,7264,5,Y,No,11,3,1,80,1,10,2,4,8,4,7,7,0
89,56,Travel_Frequently,Sales,6,3,Life Sciences,532,3,Female,4,4,Sales Executive,1,Married,13212,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7,0
90,28,Travel_Rarely,Sales,5,4,Medical,916,1,Male,3,2,Sales Executive,4,Single,4908,1,Y,No,14,3,2,80,0,4,3,3,4,2,0,2,0
91,38,Travel_Frequently,Research & Development,6,4,Life Sciences,1997,1,Male,2,2,Manufacturing Director,3,Married,5321,2,Y,No,11,3,4,80,1,10,1,3,8,3,7,7,0
92,28,Travel_Rarely,Sales,9,4,Life Sciences,498,2,Male,3,2,Sales Executive,4,Single,5253,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7,0
93,19,Travel_Rarely,Research & Development,2,3,Life Sciences,243,2,Male,2,1,Laboratory Technician,4,Single,1102,1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0,1
94,34,Travel_Rarely,Research & Development,7,4,Life Sciences,28,1,Female,3,3,Research Director,2,Single,11994,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,0
95,51,Travel_Rarely,Research & Development,7,4,Medical,211,2,Male,2,2,Manufacturing Director,3,Married,6132,2,Y,No,17,3,3,80,0,10,2,3,1,0,0,0,0
96,32,Travel_Frequently,Research & Development,10,3,Life Sciences,1720,1,Male,3,1,Research Scientist,3,Married,3433,6,Y,No,13,3,1,80,1,10,3,2,5,2,1,3,0
97,35,Travel_Rarely,Research & Development,1,4,Life Sciences,2052,3,Female,1,1,Research Scientist,4,Married,2977,1,Y,No,12,3,4,80,1,4,5,3,4,3,1,1,0
98,59,Non-Travel,Human Resources,2,4,Human Resources,140,3,Female,2,5,Manager,4,Married,18844,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,0
99,30,Travel_Rarely,Research & Development,10,3,Medical,1816,1,Female,3,3,Manufacturing Director,3,Single,9667,9,Y,No,14,3,2,80,0,9,3,3,7,7,0,2,0
100,29,Travel_Rarely,Research & Development,4,3,Technical Degree,1762,4,Female,2,1,Research Scientist,1,Divorced,2109,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0,0
101,52,Travel_Rarely,Research & Development,4,2,Life Sciences,546,4,Female,3,4,Manager,4,Married,16555,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4,0
102,36,Travel_Frequently,Research & Development,3,2,Medical,238,4,Male,3,1,Laboratory Technician,2,Single,2088,4,Y,No,12,3,3,80,0,13,3,2,8,7,7,2,0
103,29,Travel_Rarely,Research & Development,13,2,Other,2053,4,Male,2,2,Laboratory Technician,2,Married,4025,4,Y,Yes,13,3,1,80,1,10,2,3,4,3,0,3,0
104,35,Travel_Rarely,Research & Development,18,5,Life Sciences,1621,2,Male,4,2,Research Scientist,1,Married,5208,1,Y,No,11,3,4,80,0,16,2,3,16,15,1,10,0
105,25,Travel_Frequently,Sales,24,1,Life Sciences,1273,3,Male,1,1,Sales Representative,4,Single,1118,1,Y,Yes,14,3,4,80,0,1,4,3,1,0,1,0,1
106,54,Travel_Rarely,Research & Development,19,4,Medical,799,4,Female,3,2,Manufacturing Director,1,Divorced,5485,9,Y,Yes,11,3,2,80,2,9,4,3,5,3,1,4,0
107,32,Travel_Rarely,Sales,7,3,Life Sciences,420,4,Male,2,2,Sales Executive,3,Married,5484,1,Y,No,14,3,3,80,1,13,3,2,13,8,4,8,0
108,52,Non-Travel,Sales,2,4,Life Sciences,329,1,Male,2,5,Manager,3,Single,19068,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12,0
109,31,Travel_Rarely,Research & Development,9,1,Life Sciences,581,3,Male,3,3,Manufacturing Director,2,Divorced,10648,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8,0
110,19,Non-Travel,Research & Development,10,3,Medical,1248,1,Female,2,1,Research Scientist,2,Single,1859,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0,1
111,35,Travel_Rarely,Sales,8,4,Life Sciences,805,1,Female,3,1,Sales Representative,4,Married,2572,1,Y,No,16,3,2,80,1,3,1,2,3,2,0,2,0
112,27,Travel_Frequently,Research & Development,15,3,Life Sciences,1870,4,Female,2,1,Research Scientist,1,Married,4774,0,Y,No,19,3,4,80,1,8,2,2,7,6,7,3,0
113,26,Travel_Rarely,Research & Development,24,3,Technical Degree,622,3,Male,1,1,Laboratory Technician,4,Single,2340,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0,1
114,28,Travel_Rarely,Research & Development,15,2,Life Sciences,1102,1,Male,3,1,Laboratory Technician,3,Divorced,2207,1,Y,No,16,3,4,80,1,4,5,2,4,2,2,2,0
115,56,Travel_Rarely,Research & Development,24,2,Life Sciences,1907,1,Male,3,1,Laboratory Technician,4,Single,2587,1,Y,No,16,3,4,80,0,5,3,3,4,2,1,0,1
116,47,Non-Travel,Research & Development,14,4,Technical Degree,1934,3,Male,3,2,Research Scientist,2,Married,5467,8,Y,No,18,3,3,80,1,16,4,4,8,7,1,7,0
117,40,Travel_Rarely,Sales,25,4,Marketing,1318,4,Male,2,3,Sales Executive,2,Single,9094,2,Y,Yes,12,3,3,80,0,9,2,3,5,4,1,0,1
118,31,Travel_Rarely,Research & Development,4,3,Medical,1916,1,Female,4,1,Laboratory Technician,3,Divorced,3978,8,Y,No,12,3,2,80,1,4,0,2,2,2,2,2,0
119,23,Travel_Rarely,Research & Development,6,3,Life Sciences,811,3,Male,4,1,Laboratory Technician,1,Married,1601,1,Y,Yes,21,4,3,80,2,1,2,3,0,0,0,0,1
120,33,Travel_Rarely,Human Resources,2,3,Human Resources,1207,2,Male,3,1,Human Resources,3,Married,3600,1,Y,No,13,3,4,80,1,5,2,3,5,4,1,4,0
121,27,Travel_Rarely,Sales,2,2,Medical,1898,1,Female,4,2,Sales Executive,3,Single,6500,0,Y,No,14,3,2,80,0,9,5,2,8,7,0,7,0
122,43,Travel_Rarely,Sales,2,3,Medical,1706,4,Male,3,2,Sales Executive,4,Married,7847,1,Y,Yes,17,3,1,80,1,10,3,3,10,9,8,8,0
123,35,Travel_Rarely,Sales,28,4,Life Sciences,1554,2,Female,2,1,Sales Representative,3,Married,2430,0,Y,No,23,4,1,80,2,6,5,3,5,3,4,2,0
124,40,Travel_Frequently,Sales,5,4,Life Sciences,729,4,Male,2,3,Sales Executive,1,Married,10475,5,Y,Yes,21,4,3,80,1,20,2,3,18,13,1,12,0
125,36,Non-Travel,Research & Development,18,4,Life Sciences,1133,1,Male,3,2,Manufacturing Director,4,Single,7779,2,Y,No,20,4,1,80,0,18,0,3,11,9,0,9,0
126,30,Travel_Frequently,Research & Development,1,2,Medical,57,3,Female,3,2,Laboratory Technician,4,Single,4011,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,0
127,55,Travel_Rarely,Research & Development,2,4,Technical Degree,1873,2,Male,2,1,Research Scientist,4,Married,2662,8,Y,No,20,4,2,80,1,19,2,4,5,2,0,4,0
128,35,Travel_Rarely,Sales,1,5,Marketing,204,3,Male,3,3,Sales Executive,2,Married,7295,1,Y,No,13,3,1,80,2,10,3,3,10,8,0,6,0
129,29,Travel_Rarely,Research & Development,8,1,Medical,1150,2,Male,2,2,Manufacturing Director,4,Married,5056,1,Y,Yes,15,3,3,80,1,10,2,2,10,7,1,2,0
130,39,Non-Travel,Research & Development,2,3,Life Sciences,1458,1,Female,2,1,Laboratory Technician,1,Single,3646,2,Y,Yes,23,4,2,80,0,11,2,4,1,0,0,0,1
131,18,Travel_Rarely,Sales,10,3,Medical,411,4,Female,2,1,Sales Representative,3,Single,1200,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,0
132,30,Travel_Rarely,Research & Development,9,2,Medical,41,4,Male,2,1,Laboratory Technician,3,Single,2206,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,0
133,43,Travel_Rarely,Research & Development,12,3,Life Sciences,520,1,Male,2,4,Research Director,2,Divorced,14336,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9,0
134,40,Travel_Rarely,Research & Development,1,4,Life Sciences,1892,1,Male,3,4,Manager,1,Divorced,16823,2,Y,No,11,3,1,80,1,22,3,3,19,7,11,16,0
135,35,Travel_Frequently,Research & Development,18,4,Life Sciences,2049,3,Male,3,2,Healthcare Representative,3,Married,5689,1,Y,Yes,14,3,4,80,2,10,2,4,10,2,0,2,0
136,35,Travel_Rarely,Sales,10,3,Medical,1639,4,Male,2,3,Sales Executive,1,Married,10306,9,Y,No,17,3,3,80,0,15,3,3,13,12,6,0,1
137,33,Non-Travel,Sales,22,2,Marketing,160,3,Male,3,2,Sales Executive,2,Married,6146,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7,0
138,45,Travel_Rarely,Sales,9,3,Marketing,864,4,Male,3,3,Sales Executive,1,Divorced,10761,4,Y,Yes,12,3,3,80,1,18,2,3,5,4,0,2,0
139,47,Travel_Rarely,Research & Development,1,3,Technical Degree,1438,1,Male,3,1,Research Scientist,4,Married,3420,7,Y,No,12,3,3,80,1,17,2,2,6,5,1,2,0
140,26,Travel_Rarely,Research & Development,21,3,Medical,1107,1,Male,3,1,Laboratory Technician,3,Divorced,2377,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0,1
141,42,Non-Travel,Research & Development,2,1,Life Sciences,1334,3,Male,3,4,Manager,3,Married,17861,0,Y,Yes,13,3,4,80,0,21,3,2,20,8,2,10,0
142,29,Travel_Rarely,Research & Development,7,1,Medical,912,1,Female,2,1,Laboratory Technician,4,Divorced,2532,6,Y,No,14,3,3,80,3,8,5,3,4,3,0,3,0
143,40,Non-Travel,Research & Development,9,5,Life Sciences,287,4,Male,2,2,Healthcare Representative,4,Married,4876,9,Y,No,14,3,4,80,1,5,5,1,3,2,0,2,0
144,34,Non-Travel,Sales,10,3,Life Sciences,1774,4,Male,3,2,Sales Executive,3,Divorced,4001,1,Y,Yes,14,3,3,80,1,15,3,3,15,14,0,7,0
145,43,Travel_Frequently,Research & Development,9,5,Medical,663,4,Male,3,2,Laboratory Technician,3,Divorced,5679,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7,0
146,31,Travel_Rarely,Research & Development,12,3,Medical,961,4,Female,3,2,Healthcare Representative,4,Married,5855,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5,0
147,31,Travel_Rarely,Sales,29,4,Marketing,1784,1,Female,2,2,Sales Executive,4,Married,5468,1,Y,No,14,3,1,80,2,13,3,3,12,7,5,7,0
148,22,Travel_Rarely,Research & Development,19,1,Medical,217,3,Male,3,1,Research Scientist,4,Married,2323,1,Y,No,24,4,1,80,2,2,6,3,2,2,2,2,0
149,33,Travel_Rarely,Research & Development,14,3,Medical,252,4,Female,3,1,Research Scientist,2,Married,2756,1,Y,No,13,3,4,80,1,8,5,3,8,7,1,6,0
150,55,Non-Travel,Research & Development,8,1,Medical,1278,4,Male,2,4,Healthcare Representative,2,Divorced,13577,1,Y,Yes,15,3,4,80,1,34,3,3,33,9,15,0,0
151,27,Travel_Frequently,Sales,2,1,Life Sciences,1371,4,Male,1,2,Sales Executive,4,Single,5071,3,Y,No,20,4,2,80,0,8,3,3,6,2,0,0,0
