housing_median_age,population,median_income,month,median_house_value,ocean_proximity
35,675,3.4722,1,243100,NEAR BAY
52,534,3.1429,1,231600,NEAR BAY
28,2558,2.4234,1,218500,NEAR BAY
52,1786,3.0897,1,234100,NEAR BAY
50,970,5.8596,1,327600,NEAR BAY
47,1098,5.2868,1,347600,NEAR BAY
41,794,5.956,1,366100,NEAR BAY
37,98,4.9643,1,335000,NEAR BAY
52,1061,6.3434,1,373600,NEAR BAY
52,1177,5.1773,1,389500,NEAR BAY
52,901,7.2354,1,391100,NEAR BAY
28,2031,5.457,1,337300,NEAR BAY
50,1031,7.5,1,295200,NEAR BAY
44,1358,6.0194,1,292300,NEAR BAY
40,1616,7.5544,1,411500,NEAR BAY
30,844,6.0666,1,311500,NEAR BAY
34,1140,7.0548,1,325900,NEAR BAY
18,533,11.6017,1,392600,NEAR BAY
35,1072,7.4882,1,319300,NEAR BAY
34,1627,6.8976,1,333300,NEAR BAY
28,463,8.2049,1,335200,NEAR BAY
26,542,8.401,1,351200,NEAR BAY
29,661,6.8538,1,368900,NEAR BAY
32,635,8.317,1,365900,NEAR BAY
37,420,7.0175,1,366700,NEAR BAY
39,1265,6.3302,1,362800,NEAR BAY
30,126,6.3624,1,483300,NEAR BAY
52,813,7.0549,1,331400,NEAR BAY
45,1067,6.7851,1,323500,NEAR BAY
50,1260,2.8929,1,216700,NEAR BAY
38,951,3.0812,1,233100,NEAR BAY
52,510,5.2402,1,296400,NEAR BAY
52,765,6.5217,1,273700,NEAR BAY
52,1129,3.2632,1,227700,NEAR BAY
52,1073,3.0298,1,199600,NEAR BAY
52,1185,4.5428,1,239800,NEAR BAY
52,756,4.072,1,270100,NEAR BAY
52,1034,5.3509,1,302100,NEAR BAY
52,787,3.1603,1,269500,NEAR BAY
52,612,4.7708,1,314700,NEAR BAY
52,1021,8.1564,1,390100,NEAR BAY
52,861,8.8793,1,410300,NEAR BAY
52,953,6.8591,1,352400,NEAR BAY
52,634,6.0302,1,287300,NEAR BAY
52,878,7.508,1,348700,NEAR BAY
52,918,2.7477,1,243800,NEAR BAY
52,360,2.1944,1,211500,NEAR BAY
52,1197,3.0149,1,218400,NEAR BAY
52,1048,3.675,1,269900,NEAR BAY
46,1373,3.225,1,218800,NEAR BAY
42,1715,2.9345,1,225000,NEAR BAY
43,1359,2.1429,1,250000,NEAR BAY
41,1062,1.6121,1,171400,NEAR BAY
29,1335,1.3929,1,193800,NEAR BAY
27,1171,2.3173,1,125000,NEAR BAY
45,1475,1.7772,1,97500,NEAR BAY
50,742,2.6458,1,125000,NEAR BAY
52,1086,2.181,1,138800,NEAR BAY
36,1645,2.2303,1,116700,NEAR BAY
43,1710,1.6504,1,151800,NEAR BAY
52,731,2.2697,1,127000,NEAR BAY
52,1118,2.1563,1,128600,NEAR BAY
52,1006,2.1348,1,140600,NEAR BAY
47,1213,2.6292,1,182700,NEAR BAY
52,772,2.3833,1,146900,NEAR BAY
52,1321,2.957,1,122800,NEAR BAY
49,1487,2.5238,1,169300,NEAR BAY
52,488,1.9375,1,126600,NEAR BAY
51,949,1.9028,1,127900,NEAR BAY
50,1149,2.25,1,123500,NEAR BAY
52,844,2.3929,1,111900,NEAR BAY
43,4367,2.1917,1,112800,NEAR BAY
52,1659,2.9357,1,107900,NEAR BAY
30,1011,1.8854,1,137500,NEAR BAY
39,1464,2.1638,1,105500,NEAR BAY
47,1237,2.125,1,95500,NEAR BAY
52,647,3.375,1,116100,NEAR BAY
43,1284,2.2542,1,112200,NEAR BAY
51,228,2.1,1,75000,NEAR BAY
39,381,1.6,1,112500,NEAR BAY
52,846,3.625,1,125000,NEAR BAY
20,1659,1.6929,1,115000,NEAR BAY
52,520,1.6471,1,95000,NEAR BAY
52,866,2.59,1,96400,NEAR BAY
52,612,2.57,1,72000,NEAR BAY
52,415,2.6429,1,71300,NEAR BAY
52,994,3.0257,1,80800,NEAR BAY
50,1525,1.4886,1,128800,NEAR BAY
43,1506,1.9338,1,112500,NEAR BAY
52,1008,1.4844,1,119400,NEAR BAY
44,2813,1.6009,1,118100,NEAR BAY
48,1481,2.0375,1,122500,NEAR BAY
49,859,2.293,1,106300,NEAR BAY
37,1608,2.1494,1,132500,NEAR BAY
30,425,1.6198,1,122700,NEAR BAY
40,564,1.3281,1,113300,NEAR BAY
44,961,3.5156,1,109500,NEAR BAY
52,2273,3.9048,1,164700,NEAR BAY
52,600,3.0893,1,125000,NEAR BAY
46,1647,2.6042,1,124700,NEAR BAY
49,1201,2.5,1,136700,NEAR BAY
38,2167,2.7969,1,141700,NEAR BAY
29,939,2.8321,1,150000,NEAR BAY
47,859,2.9583,1,138800,NEAR BAY
34,1517,2.8365,1,139200,NEAR BAY
35,1143,2.875,1,143800,NEAR BAY
39,1109,3.0682,1,156500,NEAR BAY
39,1221,3.0757,1,151000,NEAR BAY
43,1115,4.9559,1,273000,NEAR BAY
52,706,4.7721,1,217100,NEAR BAY
52,1883,3.4861,1,187100,NEAR BAY
41,804,5.1184,1,239600,NEAR BAY
48,506,4.0977,1,229700,NEAR BAY
48,610,4.744,1,257300,NEAR BAY
46,768,4.2727,1,246900,NEAR BAY
50,462,2.9844,1,179900,NEAR BAY
40,667,4.1739,1,169600,NEAR BAY
46,1059,3.8487,1,203300,NEAR BAY
52,637,4.0114,1,263400,NEAR BAY
45,1106,4.6563,1,231800,NEAR BAY
28,1737,2.9297,1,140500,NEAR BAY
35,1009,2.3036,1,126000,NEAR BAY
49,737,2.6667,1,122000,NEAR BAY
44,1354,2.619,1,134700,NEAR BAY
45,1530,2.4167,1,139400,NEAR BAY
45,1410,2.7788,1,115400,NEAR BAY
46,1390,2.7352,1,137300,NEAR BAY
52,1065,1.8472,1,137000,NEAR BAY
52,792,2.6583,1,142600,NEAR BAY
49,779,3.0536,1,137500,NEAR BAY
44,2269,2.3906,1,111700,NEAR BAY
43,1227,1.7188,1,126800,NEAR BAY
47,753,2.625,1,111300,NEAR BAY
40,547,2.8015,1,114800,NEAR BAY
50,1807,1.7276,1,102300,NEAR BAY
44,1700,2.0801,1,131900,NEAR BAY
51,1543,2.489,1,119100,NEAR BAY
52,1085,1.7546,1,80600,NEAR BAY
52,353,4.0904,1,80600,NEAR BAY
52,473,2.6765,1,88800,NEAR BAY
49,1621,2.4338,1,102400,NEAR BAY
46,1183,2.3309,1,98700,NEAR BAY
43,836,2.2604,1,100000,NEAR BAY
42,900,1.8039,1,92300,NEAR BAY
39,1888,2.2562,1,94800,NEAR BAY
41,1024,2.0562,1,102000,NEAR BAY
52,1225,3.5398,1,158400,NEAR BAY
39,1071,3.1167,1,121600,NEAR BAY
50,1128,2.5401,1,129100,NEAR BAY
43,1537,2.898,1,121400,NEAR BAY
44,1240,2.3125,1,102800,NEAR BAY
52,469,2.875,1,160000,NEAR BAY
52,1086,3.3715,1,143900,NEAR BAY
52,1144,3.5114,1,151200,NEAR BAY
52,1109,4.3125,1,164400,NEAR BAY
52,984,3.22,1,156500,NEAR BAY
33,575,3.875,1,225000,NEAR BAY
49,496,5.2328,1,174200,NEAR BAY
52,555,3.7262,1,166900,NEAR BAY
45,869,4.5893,1,163500,NEAR BAY
39,236,5.2578,1,253000,NEAR BAY
41,626,7.0875,1,240700,NEAR BAY
46,922,3.9712,1,208100,NEAR BAY
47,582,2.9514,1,198100,NEAR BAY
50,546,2.6667,1,172800,NEAR BAY
37,620,5.4446,1,336700,NEAR BAY
34,442,6.2838,1,318200,NEAR BAY
23,955,6.7527,1,285800,NEAR BAY
24,916,7.0712,1,293000,NEAR BAY
22,4985,5.9849,1,371000,NEAR BAY
42,651,3.6875,1,157300,NEAR BAY
30,1704,2.875,1,135300,NEAR BAY
43,1085,3.4205,1,136700,NEAR BAY
50,713,3.2984,1,160700,NEAR BAY
49,468,3.875,1,140600,NEAR BAY
52,296,4.175,1,144000,NEAR BAY
47,570,4.375,1,161900,NEAR BAY
48,446,4.7708,1,156300,NEAR BAY
45,968,3.5739,1,176000,NEAR BAY
39,857,3.0958,1,145800,NEAR BAY
39,912,3.3958,1,141900,NEAR BAY
31,1360,1.871,1,90700,NEAR BAY
41,1074,1.9356,1,90600,NEAR BAY
47,965,2.1842,1,107900,NEAR BAY
37,933,2.2917,1,107000,NEAR BAY
38,987,2.4333,1,98200,NEAR BAY
50,907,1.9479,1,89500,NEAR BAY
52,447,3.9063,1,93800,NEAR BAY
49,1299,1.8407,1,96700,NEAR BAY
27,396,2.0786,1,97500,NEAR BAY
42,877,2.8125,1,97300,NEAR BAY
43,1111,1.8913,1,91200,NEAR BAY
49,790,1.7056,1,91400,NEAR BAY
52,1479,2.2768,1,96200,NEAR BAY
51,1173,3.2552,1,120100,NEAR BAY
52,1029,2.0556,1,100000,NEAR BAY
52,1030,2.4659,1,94700,NEAR BAY
47,826,1.75,1,85700,NEAR BAY
41,1412,2.0469,1,89300,NEAR BAY
45,1132,2.7159,1,101400,NEAR BAY
41,522,1.2083,1,72500,NEAR BAY
45,630,1.925,1,74100,NEAR BAY
36,531,1.5809,1,70000,NEAR BAY
37,1925,1.4097,1,84600,NEAR BAY
38,1144,0.7683,1,81800,NEAR BAY
19,1481,1.3194,1,81400,NEAR BAY
28,435,0.8012,1,81800,NEAR BAY
26,984,1.9479,1,85800,NEAR BAY
36,567,1.1765,1,87100,NEAR BAY
42,380,2.3456,1,83500,NEAR BAY
44,825,2.1538,1,79700,NEAR BAY
43,417,2.5139,1,83400,NEAR BAY
45,801,1.2625,1,84700,NEAR BAY
42,646,2.9063,1,80000,NEAR BAY
43,855,2.5192,1,76400,NEAR BAY
44,435,2.1111,1,79700,NEAR BAY
42,2736,2.455,1,82400,NEAR BAY
41,1481,2.4028,1,97700,NEAR BAY
47,327,2.15,1,97200,NEAR BAY
43,494,2.4776,1,101600,NEAR BAY
43,1231,2.1587,1,86500,NEAR BAY
35,323,1.8438,1,90500,NEAR BAY
46,749,3.0298,1,107600,NEAR BAY
46,693,2.25,1,84200,NEAR BAY
46,1339,2.2467,1,88900,NEAR BAY
45,282,4.0469,1,80700,NEAR BAY
46,621,1.325,1,87100,NEAR BAY
38,732,1.6196,1,85100,NEAR BAY
45,901,2.1731,1,82000,NEAR BAY
36,482,1.9167,1,82800,NEAR BAY
43,652,2.069,1,84600,NEAR BAY
36,651,1.712,1,82100,NEAR BAY
33,999,2.5625,1,89300,NEAR BAY
43,907,1.9821,1,98300,NEAR BAY
41,828,2.5043,1,92300,NEAR BAY
44,763,2.3281,1,88800,NEAR BAY
48,935,1.4375,1,90000,NEAR BAY
45,1437,2.5122,1,95500,NEAR BAY
38,1516,1.5625,1,91700,NEAR BAY
47,597,3.1587,1,100400,NEAR BAY
40,949,1.8426,1,94800,NEAR BAY
46,881,4.6696,1,164300,NEAR BAY
36,1438,2.4598,1,155500,NEAR BAY
39,763,6.0749,1,196900,NEAR BAY
27,1297,4.8304,1,279100,NEAR BAY
34,545,5.5701,1,252800,NEAR BAY
26,1222,5.37,1,275400,NEAR BAY
33,808,6.86,1,250000,NEAR BAY
28,329,7.6923,1,329800,NEAR BAY
36,299,4.0313,1,195500,NEAR BAY
33,579,6.8323,1,255900,NEAR BAY
30,137,4.975,1,311100,NEAR BAY
36,229,5.3602,1,330000,NEAR BAY
41,1476,5,1,248900,NEAR BAY
46,429,2.925,1,142900,NEAR BAY
40,849,3.8913,1,126300,NEAR BAY
44,946,3.225,1,135800,NEAR BAY
41,571,3.1458,1,130600,NEAR BAY
24,1137,2.537,1,107900,NEAR BAY
44,378,2.5568,1,111100,NEAR BAY
43,853,3.5083,1,122000,NEAR BAY
49,764,3.3125,1,118000,NEAR BAY
40,928,1.8235,1,95200,NEAR BAY
35,406,3.8047,1,94300,NEAR BAY
34,824,2.2917,1,92500,NEAR BAY
37,835,2.4962,1,91800,NEAR BAY
43,826,4.0417,1,109400,NEAR BAY
46,567,3.4844,1,129500,NEAR BAY
52,355,4.1458,1,143400,NEAR BAY
47,533,2.625,1,98200,NEAR BAY
44,609,2.0227,1,103100,NEAR BAY
49,576,3.3333,1,276800,NEAR BAY
52,594,5.338,1,270900,NEAR BAY
52,870,3.4732,1,246200,NEAR BAY
38,1027,3.5125,1,224200,NEAR BAY
52,693,3.1375,1,229100,NEAR BAY
46,815,2.8036,1,211600,NEAR BAY
15,2420,4.5824,1,256100,NEAR BAY
36,518,3.0208,1,206300,NEAR BAY
52,620,4.0875,1,221300,NEAR BAY
42,551,4.5268,1,207400,NEAR BAY
37,2556,1.7375,1,350000,NEAR BAY
52,1498,3.1795,1,218200,NEAR BAY
50,523,3.8672,1,216700,NEAR BAY
52,374,5.1675,1,270600,NEAR BAY
52,1004,5.1696,1,261400,NEAR BAY
52,769,4.2614,1,261300,NEAR BAY
52,940,5.0551,1,232200,NEAR BAY
42,645,5.6228,1,375400,NEAR BAY
52,705,7.8864,1,357300,NEAR BAY
52,684,7.9556,1,374400,NEAR BAY
52,572,6.174,1,358800,NEAR BAY
52,671,6.9414,1,417500,NEAR BAY
52,975,8.8342,1,430500,NEAR BAY
52,779,7.1754,1,362900,NEAR BAY
52,658,10.0825,1,397000,NEAR BAY
52,819,4.9083,1,346800,NEAR BAY
52,412,5.7912,1,327100,NEAR BAY
52,835,4.5893,1,290100,NEAR BAY
52,722,5.4171,1,292000,NEAR BAY
52,1085,4.125,1,270900,NEAR BAY
52,973,7.266,1,371100,NEAR BAY
52,723,5.3989,1,335600,NEAR BAY
37,903,7.8336,1,371300,NEAR BAY
41,356,6.1593,1,344000,NEAR BAY
52,1005,6.381,1,342200,NEAR BAY
52,1205,6.6828,1,370900,NEAR BAY
37,987,7.5385,1,350000,NEAR BAY
42,1031,6.7138,1,368600,NEAR BAY
52,894,6.2425,1,391800,NEAR BAY
52,823,5.7979,1,415300,NEAR BAY
52,1232,4.2813,1,284900,NEAR BAY
52,669,3.5417,1,287500,NEAR BAY
44,989,3.0132,1,272900,NEAR BAY
52,1058,4.1429,1,259600,NEAR BAY
52,506,4.1912,1,254500,NEAR BAY
52,489,3.9167,1,235600,NEAR BAY
52,824,3.8897,1,218400,NEAR BAY
48,1034,3.1065,1,229200,NEAR BAY
46,920,2.9926,1,192100,NEAR BAY
52,841,3.556,1,179300,NEAR BAY
45,749,1.475,1,187500,NEAR BAY
52,208,1.6971,1,138800,NEAR BAY
10,228,2.1705,1,150000,NEAR BAY
50,287,2.75,1,140600,NEAR BAY
52,218,2.5682,1,120000,NEAR BAY
46,854,2.9,1,144800,NEAR BAY
52,1695,2.2208,1,144800,NEAR BAY
52,403,3.2344,1,245500,NEAR BAY
52,288,3.5156,1,200000,NEAR BAY
49,963,1.9805,1,173700,NEAR BAY
50,1129,2.6684,1,185600,NEAR BAY
52,386,3.875,1,182600,NEAR BAY
52,811,3.006,1,227900,NEAR BAY
46,1293,2.543,1,220700,NEAR BAY
46,805,2.8676,1,212000,NEAR BAY
52,1372,2.1907,1,271400,NEAR BAY
30,862,1.7778,1,268800,NEAR BAY
37,1152,2.52,1,277800,NEAR BAY
52,483,4.2788,1,332500,NEAR BAY
52,1558,2.944,1,338900,NEAR BAY
52,1798,1.725,1,287500,NEAR BAY
41,266,5.2289,1,384600,NEAR BAY
42,2184,2.5562,1,371400,NEAR BAY
52,2016,0.949,1,350000,NEAR BAY
52,1349,1.1696,1,500001,NEAR BAY
52,3337,1.4012,1,175000,NEAR BAY
52,1721,1.1859,1,241700,NEAR BAY
35,1675,1.7464,1,216700,NEAR BAY
49,707,2.8846,1,211300,NEAR BAY
52,1424,2.7372,1,210200,NEAR BAY
52,393,3.8594,1,196400,NEAR BAY
52,828,3.5625,1,191700,NEAR BAY
52,571,2.2788,1,182300,NEAR BAY
44,1382,2.537,1,175000,NEAR BAY
46,792,2.525,1,165900,NEAR BAY
52,815,1.9946,1,156900,NEAR BAY
52,788,2.8214,1,164300,NEAR BAY
52,1145,2.6165,1,150000,NEAR BAY
50,1354,1.9483,1,150500,NEAR BAY
52,958,1.9327,1,169900,NEAR BAY
49,1361,1.9798,1,147400,NEAR BAY
52,1005,2.4167,1,152700,NEAR BAY
49,924,2.5417,1,182700,NEAR BAY
52,780,3.3906,1,179300,NEAR BAY
52,1582,2.5652,1,157700,NEAR BAY
41,1213,2.2845,1,153100,NEAR BAY
52,486,2.6071,1,250000,NEAR BAY
52,494,3.15,1,206300,NEAR BAY
52,849,2.6914,1,218800,NEAR BAY
52,1127,1.8447,1,198200,NEAR BAY
35,3276,1.6307,1,253600,NEAR BAY
52,1493,2.9044,1,257400,NEAR BAY
52,1461,2.9405,1,289500,NEAR BAY
52,1253,3.3893,1,241700,NEAR BAY
48,1656,3.0417,1,489600,NEAR BAY
52,514,7.0897,1,446200,NEAR BAY
52,719,5.0463,1,456300,NEAR BAY
52,878,1.7652,1,336800,NEAR BAY
52,517,7.8521,1,500001,NEAR BAY
52,1366,9.3959,1,500001,NEAR BAY
52,1316,5.3794,1,376900,NEAR BAY
52,1508,3.2619,1,309600,NEAR BAY
52,1800,2.7054,1,182300,NEAR BAY
47,719,2.2431,1,172700,NEAR BAY
50,675,1.9028,1,150800,NEAR BAY
52,875,1.5817,1,153600,NEAR BAY
52,152,2.2841,1,106300,NEAR BAY
47,843,1.3785,1,142300,NEAR BAY
52,281,2.9018,1,119400,NEAR BAY
44,506,1.73,1,147900,NEAR BAY
48,1054,2.2625,1,132900,NEAR BAY
35,1017,2.2106,1,132500,NEAR BAY
52,1623,2.6997,1,126900,NEAR BAY
14,3100,4.0018,1,143800,NEAR BAY
52,947,7.8772,1,500001,NEAR BAY
39,808,11.8603,1,500001,NEAR BAY
42,1018,13.499,1,500001,NEAR BAY
52,1001,12.2138,1,500001,NEAR BAY
52,1005,8.1872,1,466100,NEAR BAY
52,1192,12.3804,1,500001,NEAR BAY
52,585,5.8948,1,457800,NEAR BAY
52,916,8.1194,1,471600,NEAR BAY
52,556,8.7477,1,500001,NEAR BAY
52,1470,6.155,1,398600,NEAR BAY
52,1104,5.883,1,340700,NEAR BAY
52,1242,5.2128,1,289900,NEAR BAY
52,805,4.7188,1,335300,NEAR BAY
52,378,5.2915,1,333000,NEAR BAY
52,481,2.6411,1,241000,NEAR BAY
52,409,3.3214,1,189600,NEAR BAY
52,885,3.6417,1,206300,NEAR BAY
52,1468,3.0161,1,215700,NEAR BAY
52,482,3.1771,1,210200,NEAR BAY
52,825,3.4531,1,208800,NEAR BAY
52,429,4.3098,1,197900,NEAR BAY
52,528,3.3438,1,201300,NEAR BAY
52,496,2.9213,1,190800,NEAR BAY
52,718,2.6806,1,207900,NEAR BAY
52,630,3.7708,1,215300,NEAR BAY
45,723,3.9444,1,212900,NEAR BAY
13,959,5.2601,1,292700,NEAR BAY
30,3668,2.5444,1,275000,NEAR BAY
42,2037,2.6447,1,200000,NEAR BAY
29,3741,2.5762,1,173400,NEAR BAY
42,821,1.9427,1,102200,NEAR BAY
52,870,2.9688,1,220800,NEAR BAY
27,1901,3.75,1,242800,NEAR BAY
18,1243,5.1702,1,265400,NEAR BAY
50,730,2.5139,1,219000,NEAR BAY
52,793,2.9732,1,282100,NEAR BAY
52,1033,5.5337,1,372000,NEAR BAY
52,872,4.1667,1,225800,NEAR BAY
52,849,2.7115,1,220800,NEAR BAY
52,1121,3.3269,1,234500,NEAR BAY
52,872,3.2685,1,254200,NEAR BAY
52,637,4.7778,1,351800,NEAR BAY
52,663,4.226,1,275000,NEAR BAY
52,411,3.3571,1,405400,NEAR BAY
52,915,2.9899,1,228100,NEAR BAY
52,921,2.875,1,234000,NEAR BAY
43,585,2.3882,1,162500,NEAR BAY
43,2086,2.975,1,243400,NEAR BAY
52,1303,5.1039,1,273800,NEAR BAY
52,374,4.1458,1,248500,NEAR BAY
52,979,3.4762,1,244000,NEAR BAY
52,827,2.6833,1,240900,NEAR BAY
52,658,5.75,1,306300,NEAR BAY
50,654,3.9632,1,240000,NEAR BAY
45,384,4.9489,1,247100,NEAR BAY
27,1499,4.8711,1,286600,NEAR BAY
52,1128,3.0718,1,266700,NEAR BAY
49,1110,3.6719,1,229800,NEAR BAY
52,1119,4.6094,1,229300,NEAR BAY
21,2930,4.5213,1,228400,NEAR BAY
25,897,4.4562,1,206200,NEAR BAY
5,7427,7.611,1,350700,NEAR BAY
31,2973,3.2689,1,231000,NEAR BAY
52,1340,3.567,1,252900,NEAR BAY
28,2974,3.6875,1,353900,NEAR BAY
23,2690,4.7695,1,291700,NEAR BAY
20,583,3.1972,1,100000,NEAR BAY
12,5781,7.2634,1,341600,NEAR BAY
5,1738,7.0568,1,412500,NEAR BAY
36,1478,4.635,1,248600,NEAR BAY
40,746,5.3015,1,254900,NEAR BAY
36,1235,4.9801,1,241500,NEAR BAY
26,1411,5.4834,1,295200,NEAR BAY
31,1368,6.187,1,340400,NEAR BAY
32,1048,5.6194,1,274700,NEAR BAY
35,1004,5.4639,1,238600,NEAR BAY
35,1086,5.1498,1,266400,NEAR BAY
30,922,5.8382,1,330200,NEAR BAY
36,1950,4.65,1,206800,NEAR BAY
25,1413,4.3819,1,209200,NEAR BAY
30,1444,3.7222,1,195800,NEAR BAY
31,749,5.2855,1,253500,NEAR BAY
31,867,4.3375,1,241800,NEAR BAY
27,2723,5.2131,1,252500,NEAR BAY
30,731,6.005,1,263900,NEAR BAY
38,781,5.0519,1,227000,NEAR BAY
38,1784,4.8237,1,220900,NEAR BAY
32,1156,5.2497,1,259300,NEAR BAY
39,645,4.125,1,232500,NEAR BAY
37,821,4.6005,1,231600,NEAR BAY
33,1912,3.5187,1,209400,NEAR BAY
32,1487,3,1,223200,NEAR BAY
25,1645,3.4934,1,209900,NEAR BAY
33,2239,2.9861,1,208200,NEAR BAY
29,1021,2.5362,1,203800,NEAR BAY
36,1105,3.3021,1,195700,NEAR BAY
31,2999,3.0964,1,190500,NEAR BAY
43,740,2.8512,1,181000,NEAR BAY
42,629,3.3478,1,184900,NEAR BAY
37,314,2.3958,1,190800,NEAR BAY
15,1479,3.5295,1,242200,NEAR BAY
20,1732,4.8036,1,188300,NEAR BAY
52,1338,3.851,1,183500,NEAR BAY
52,440,4.0662,1,204200,NEAR BAY
51,922,4.6042,1,251900,NEAR BAY
49,611,2.2,1,187500,NEAR BAY
52,994,4.1164,1,198200,NEAR BAY
52,545,3.95,1,219000,NEAR BAY
52,317,4.9135,1,275000,NEAR BAY
45,1573,2.8355,1,245400,NEAR BAY
46,925,3.25,1,177500,NEAR BAY
49,768,2.8301,1,171600,NEAR BAY
52,620,3.7159,1,183300,NEAR BAY
52,425,2.5625,1,175000,NEAR BAY
45,1003,3.8047,1,156700,NEAR BAY
45,519,3.375,1,157500,NEAR BAY
38,481,3.244,1,179800,NEAR BAY
36,1209,4.0268,1,205500,NEAR BAY
