时间,用户,星级,短评,支持数
2021-07-10 09:05:55,lisamm,三星,20210709 万象影城（北京丽泽天街杜比影院） 专门来看了杜比影院版本。只能说，演技的差别真的是很明显。另外，这种类型的片子果然还是纪录片最感人，因为都是最真实的记录，相比之下，演技再高超的演员，都展现不了真实纪录片里当时的那种危急时刻和真情,126
2021-07-09 12:22:43,🥳,三星,哭了，感人仅仅因为故事本身是我们亲历过的，中间袁泉听小卖部老赵语音那段，袁泉演的好再加上当初听过这个故事，整个人哭崩了。当作为电影来说，剪辑、配乐、节奏都乱的要死，尤其欧豪跟周也……槽多无口。。。,148
2021-08-03 14:10:24,zυò笙活の強锗,二星,很好的题材。却是一部很一般的电影。每一个点都在告诉我，到时间了，该哭了，该感动了。,53
2021-07-11 08:10:28,樱桃小团子,四星,我是一名还没有毕业，正在医院实习的护理专业的学生，一开始我对自己的这份职业真的没有多少认同感，尤其是开始实习后，面对的都是形形色色的病人家属，每天都很累但看完这部电影，感觉到自己存在的意义，拼尽全力去救活病人的快乐。让我感受到护理存在的价值从开头到结尾，我一直在哭，很感谢这部电影，为我以后的能够坚守这分职业提供了希望 念想,60
2021-07-11 12:53:58,芙蕖,三星,比较一般，总的来说没有特别突出的亮点有纪录片一般的纪实手法但多个故事拼凑在一起，显得混乱每个故事不够深入，是一种群像的表现没有真正地升华，只是单纯地展示，故而缺少了能深刻地直抵人心的力量影片开头部分的医生取口罩为什么都是扯的，绳子都断了，不懂这样想表达什么？,163
2021-07-09 13:23:20,冻柠茶在逃柠檬,三星,其实还蛮好的，感觉有点回避了武汉疫情那时候的特别压抑折磨的气氛。印象比较深的时候文婷主任，坚强睿智勇敢。还有张院长爱人提出要把自己的遗体捐出去做医学解剖，很感人。,64
2021-07-09 07:40:52,爆炸小公举爱你,四星,多了不想说，我只能说中国医生很了不起。尤其是疫情期间第一线的医生，非常了不起。中国电影人还得努力。,98
2021-07-10 09:03:00,预备打工人,三星,不太会评价电影，影院里有人哭得稀里哗啦很正常，因为这是真实存在过的日子，确实挺感人的，但是有些地方就是莫名其妙的吧，不知道有没有删减过，有几条线更完美就好了。,67
2021-07-09 12:04:47,野夫丶,四星,这是一部很奇怪的电影，演员都带着口罩、穿着厚厚的防护服，你看不到所谓的演技，甚至剧情都是靠新闻推动的，但仍会感动于背后的伟大。看到最后，脑子里全是《武汉日夜》里医生送遗物时不断重复的那句对不起…,60
2021-07-09 08:40:04,美食加,五星,上海提前观影场。 两个多小时的电影，哭了半包纸，一些场景和细节（不论是单个角色的还是群像）很容易让经历过全民战疫的人共情。整体节奏较紧凑，基本没啥尿点。张涵予袁泉朱亚文易烊千玺欧豪都表现很棒 演技厉害。 感动！致敬所有医护人员和英雄城市的每一个人！,419
2021-07-09 12:59:32,廾匸,三星,算是个记录片吧 有些感情挺啰嗦的,65
2021-07-18 15:11:36,不散落之星ich,三星,沾了题材的光 看了个片段大杂烩😅,61
2021-07-18 12:42:48,千山我独行,三星,袁泉和朱亚文演的不错，张涵予演的院长为什么一定要带一点点方言的口音说话呢？院长夫人的线也没有什么必要吧😓电影没有一条完整的能串起来的角色线，特别是周也和欧豪，戏份又多又尴尬🚬饶了我吧,51
2021-07-06 21:27:41,失落学渣小螂君,五星,在尽可能真实的基础上，拍出了感动，全剧飙泪很多。张子枫的演技太扎实了，朱亚文这次角色很吸睛，欧豪那段故事后期过于煽情，让我先前哭完的情绪有些无处安放…,480
2021-07-09 13:56:35,等等我,四星,才开场十几分钟就泪流满面，总得来说前半场比后半场好看多了。另外老戏骨就是老戏骨，张涵予牛逼，开场二十多分钟我还在纳闷怎么没有看到他，直到院长不戴眼镜我才发现这不就是嘛，哈哈！里面的年轻演员真的还是要多多努力,59
2021-07-09 13:22:54,der意的笑,五星,这种影片煽情是避免不了的，但让我骄傲的是影片中的故事和人物都是现实生活中真正发生和存在的，除了结尾有点拖沓，整体是可以的，都是好演员，没有特别违和的面孔和演技，朱亚文和易烊千玺贡献了影片的笑点，人物的成长也很明显，欧豪这段后面有点分崩离析，以为他死了结果他还活着~,218
2021-07-09 12:59:32,Jackie,四星,港片的剪辑节奏，各种煽情套路。。。但我吃了，好看的。孩子的出生时候，和周边病人的不停死亡，强烈的对比，让我热泪盈眶，希望就在眼前。而且我们知道，我们赢了！最后我家子枫妹妹，一分钟的表演都做到极致。,68
2021-08-03 21:53:15,麦香鲨鱼,三星,题材感人 剧情一塌糊涂 我不理解,68
2021-10-16 23:03:24,不政常 Marco,一星,流水帐，电视剧水平。同期有很多纪录片的震撼和感人程度可完全超过此部电影。,18
2021-07-09 15:35:25,鲜肉兄,五星,没有一味地歌颂，而是用鲜血和疼痛撕扯着观众的心。我们看到，畏手畏脚不敢插管的年轻大夫惨遭斥责，因为治疗方法产生分歧院长拍案而起，在床位大战中挺身而出保护同事的女大夫吼叫着“我会救你，也会找你算账”，我知道这些是九牛一毛、沧海一粟，真实的抗疫会比剧情惨烈千倍万倍。最感动我的，是同意亲属遗体解剖的小哥哥，他用哭腔说“小时候生病时，爸爸妈妈都是把我送到爷爷奶奶那里”，因为经历相似，所以我瞬间泪崩。正如医生所言——“疫情总会过去，日子还要过下去” 。疫情不会摧毁我们，只要充满信念，中国人永远不会倒下。,227
2021-07-10 14:37:39,VILOVY,四星,哭是真的好哭，医护人员永远值得尊敬。一开始张涵予武汉话以及朱亚文的方言确实有点跳脱，周也欧豪这一对觉得也离老戏骨们有点差距。第一次觉得萨日朗这首歌这么好哭。袁泉真的是yyds ，演技永远真实自然。明星好多因为穿着防护服都没认出来。,48
2021-07-09 13:27:50,说句不好吃的,四星,电影节奏一开始有点快 但是整体看下来非常好看！！不强行煽情的主旋律电影！杨小羊医生太可爱啦～生在中国无比荣幸！！！,41
2021-08-03 16:01:41,夜行,三星,感动的不是电影 是现实本身,45
2021-07-09 12:45:39,吃胶片的考拉,四星,不愧是刘伟强，非常擅长调动观众情绪。大量手持摄影加快切，力求尽可能还原那个特殊的时期。没有过度浪漫主义，医务人员们都有自己的个性，朱亚文和袁泉的角色让人印象深刻，加上骂骂咧咧的张涵予，让人相信每个医护都是真实的鲜活的人物。作为灾难题材，初期的紧张感营造到位，然后越到后面泪点越多，建议备好纸巾。,26
2021-07-06 22:13:18,沂南,五星,感人至深，催人泪下。戳泪点的情节很多，印象最深的是子枫妹妹出场的几分钟，太好哭了！向医护人员致敬！主创团队真的很强,253
2021-07-08 00:20:47,小龙同学,五星,虽然已经预感了这会是一部不错的片子，但笔者在提前观看完《中国医生》的点映场次后依然觉得有意料之外的惊喜，除了感动还有感慨。不消说这自然又是一部命题宏大的影片，以小见大，用细节抓人、用角色的代入感打动人是让电影不流于形式的必然出路，《中国医生》在这方面做得更加成熟，刘伟强在节奏的把控上更加张弛有度了，悲痛和振奋，紧张与松弛，感动与苦中作乐等穿插得恰到好处，群像电影看起来行云流水，有记忆点但不拖沓。,310
2021-07-08 23:55:20,凤梨罐头,三星,中规中矩地拍了所有中国人都该看的故事，很难不落泪数次，张院长和陶医生最饱满立体，太喜欢张涵予演戏很诚恳的感觉了，朱亚文处理骄傲和挫败之间的差距感很好看。还有值得夸的是男女角色数量和性格表现相当，袁泉冯文娟为首的女医护人员 同样出彩，尤其歌颂了无名小护士很感动。所有明星基本都素颜加防护镜痕迹，还有冯绍峰张颂文张嘉倪我都没看到出镜的加盟，大家都挺棒的。第一次get易烊千玺，最快给我医生的感觉，表达也很有自己的性格。说两点不太喜欢的，一个是配乐没有层次感，像颁一项项感动中国时一次次响起音乐。二是金仔和妻子应该赋予更多能担得起那么多煽情笔墨的设定或者说人格高光点，欧豪在刘伟强的电影里一如既往的表现可圈可点这歌外卖员真的方言演啊会好很多。,22
2021-08-03 21:30:24,飛魚與鳥,三星,疫情大概是这代人一辈子回想都会让人鼻子酸的事情吧,21
2021-07-09 00:35:03,是阿喵呀,五星,全程泪目。谢谢你们。当时情况一定比电影更艰难。然后我和我老公看完就去填志愿把遗体捐了hhhh,199
2021-07-09 13:02:47,这是可以说的吗,五星,很好看，影片以小见大描绘了疫情初期那种混乱不安的局面，电影节奏把握的也很好，张涵予，袁泉两位演技绝了，展现出了中国医生的那种担当。特别喜欢易烊千玺饰演的杨小羊医生，俏皮可爱，和朱亚文的互动，缓解了影片中紧张的气氛。他从一位啥也不会的住院医慢慢成长起来了，成长线很明显，在他身上可以看出疫情时期医护人员真的很紧缺，很多人年轻医护都毅然决然地踏上战场，在抗疫中慢慢成长起来。在这场无声的战争中，中国医护了不起，中国了不起🇨🇳🇨🇳🇨🇳,163
2021-07-06 18:23:51,天坛门口卖豆汁,五星,"电影中最让我印象深刻的两个场景，一个是文婷听着老赵的语音，流着泪吃完晚饭（我必须感叹一下袁泉太厉害了），另一个是院长通过手机，深情地呼唤着自己的妻子。死别与生离，在疫情期间日复一日地这样上演着。谢谢你们为我们拼过命，让这样的日子永远结束在去年春天。最后想问一下小羊医生，烧鹅好吃不？👀",135
2021-07-09 13:54:29,是以见放,四星,本来听说拍的很差带着吐槽的心去看的，没想到还是被感动哭了。应该是得益于群像设置得真不错，每个大人物、小人物都立住了。疫情中形形色色的大家，最令人感动，打赢这场仗，感谢每个人，珍惜每个人。,39
2021-08-03 21:47:37,七个救火的少年,三星,非常感人，确实很催泪，不过这点应该归功于这个题材，抗疫这件事它本身很感人 ，这部电影拍的确实稀碎很一般。演员都还不错。,37
2021-07-09 10:46:45,遇见,四星,建议带纸巾前往，2020年的抗疫故事因为真切的经历过，每次看到都不由自主的泪流满面。演员选择很好，表现都不错，张涵予的院长如同定海神针，朱亚文尤其精彩，袁泉演的太真实了。“白衣为甲，逆行出征”，回顾苦难是为了记住最坚强的中国人。,32
2021-08-03 19:10:54,蚊香很弯,四星,我无法用武汉人民的角度去评价这部电影，我只能说故事很好，但是很散,16
2021-07-07 18:52:49,biubiubiu,五星,⭐️⭐️⭐️⭐️⭐️影院中的抽泣声此起彼伏，不带纸也请带上朋友，不然泪水和鼻涕往哪里擦？一起经历过的事总是会更加感同身受，白衣为甲，大义逆行，中国医生、医务工作者真的了不起。亚文老师演技出圈了，易烊千玺也太好哭了😭,138
2021-07-09 13:53:05,helloeve,五星,都很好…哭得稀里哗啦 好爱袁泉,95
2021-07-28 07:49:01,可i咖啡,二星,如果不是真实疫情背后的感动，单从电影来看并不好看，整体感觉一个字，乱！想讲的事太多，故事零碎，每个都点一下，乱！运镜，乱，有部分看得眼晕。作为纪录片？！又少了真实感！,41
2021-07-09 13:50:40,剑吹白雪,五星,张涵予不愧是能把宋江演得你情不自禁喊哥哥的汉子,87
2021-07-08 16:56:29,J,五星,哭晕在电影院…哭到呼吸困难，还受电影影响不敢摘口罩。泪点低的谨慎看《中国医生》，心脏受不了。先说结论，个人觉得比《中国机长》好看，目测这个暑期档的第一个爆款就是这部了。袁泉和张涵予的演技是真好啊，跟机长的精英感完全不同。张涵予像到让人忘了是他，袁泉拿手机听消息吃饭那段值得拿影后！观影感受跟去年疫情期间人民群众看新闻差不多，心情不断过山车——前一秒“中国加油”，后一秒“呜呜呜好惨啊”。虽然很多当时的困境没有拍出来，但是影片并没有全程歌颂，很多医生的无奈与不甘，客观条件导致的无能为力都有。,114
2021-07-06 22:27:21,小牛魔王,五星,感情充沛而浓烈，叙事总体流畅、主次得当。毕竟是就在不久前全民亲历过的一场大事件，仅仅选取一条关键主线和重要人物、加上宏大的事件背景和一些小人物的片段就已经足够打动人，观看过程中常有止不住要流泪的冲动。也能感到创作中的一些求全之举，但不必苛责，作为抗疫后第一部剧情长片，已经足够好。 豆瓣盗梦@博纳大郊亭,119
2021-07-10 02:23:44,findanisland,五星,什么都不说，我现在活着就是千千万万人的努力，感恩。,71
2021-07-22 23:31:31,态变,三星,最好的片段就是剪进来的新闻片段……,32
2021-07-06 18:41:21,Lin.,五星,感觉自己和大家一起站在武汉的暴风眼中央，想哭又不敢哭！怕哭湿了口罩会被感染，怕给医生们添麻烦！,68
2021-07-19 20:12:50,cozuma,四星,请不要忘记：第一个站起来报名志愿者的是一位女性。,92
2021-07-04 13:35:12,已注销,五星,满满的感动和震撼，电影很还原，仿佛又回到了那段日子里。张涵予袁泉的演技非常好，很入戏很真实,115
2021-07-06 17:47:37,celestacia,五星,重要事情放在最开始说：带纸巾带纸巾带纸巾。差不多130分钟的电影我有100分钟都在哭的程度吧。能看出用心了，至少把之前某些抗疫剧出现的荒谬问题都避免了。更像纪录片，发生了什么事情，我们做了什么，遇到了哪些困难，才到达最后的结果。正视女性，正视同等分量的付出和牺牲。正视死亡，正视竭尽全力之后的无可奈何。正视生命，正视不歌颂无谓的冒险和牺牲才是正确的。正视人性，正视真实的混乱恐慌和无序。让每个角色成为性格各异的、会发脾气的有血有肉的人。记录苦难，而不是歌颂它。当然还有很多应该被记录下来的苦难，但这一部能做到这样已经很好了。,64
2021-07-25 17:02:39,木子🐟,二星,题材原型给满分，电影只能给两分,20
2021-07-09 08:07:04,格兰芬多,五星,致敬！感动！我爱我的祖国🇨🇳,93
2021-07-24 15:06:29,李一池,二星,从没看过这么漫长的电影 催泪 但还是假,38
2021-07-09 12:45:39,吃胶片的考拉,四星,不愧是刘伟强，非常擅长调动观众情绪。大量手持摄影加快切，力求尽可能还原那个特殊的时期。没有过度浪漫主义，医务人员们都有自己的个性，朱亚文和袁泉的角色让人印象深刻，加上骂骂咧咧的张涵予，让人相信每个医护都是真实的鲜活的人物。作为灾难题材，初期的紧张感营造到位，然后越到后面泪点越多，建议备好纸巾。,26
2021-07-22 23:31:31,态变,三星,最好的片段就是剪进来的新闻片段……,32
2021-07-12 07:50:44,Desolée ぁ,五星,五星为中国医生而打，现实比电影还要残酷。每一条生命的背后都是一个家庭，谢谢你们为武汉拼过命，去年是你们守住了国家最重要的一道防线。今年再看去年，抬眼望全球，还有那么多国家仍然处在水深火热之中，感谢党的科学决策，感谢武汉人民的付出，感谢全国人民的积极配合。PS：袁泉和子枫妹妹的泪流到了我的心里。,29
2021-07-09 03:26:26,刺客,五星,超过预期,52
2021-07-09 10:12:26,韦斯安徒生,二星,如同辞藻华丽、感情充沛，却丝毫不见真情挚心的诗朗诵。面面俱到的专题片式流水账，内容又多又杂，生怕遗漏了值得赞颂的任何角落，却在如此有分量的议题之下，未见任何有关人性、社会甚至是仅仅对职业的深入探讨。蜻蜓点水过后，留不下一丝涟漪，勾起真实的记忆，重塑“正确”的记忆。,9
2021-07-08 00:17:48,伪文人想摇滚,五星,牛逼,48
2021-07-09 13:54:29,是以见放,四星,本来听说拍的很差带着吐槽的心去看的，没想到还是被感动哭了。应该是得益于群像设置得真不错，每个大人物、小人物都立住了。疫情中形形色色的大家，最令人感动，打赢这场仗，感谢每个人，珍惜每个人。,39
2021-10-12 12:55:31,不见森林,三星,张涵予不太适合演医生，武汉的故事需要更好的作品，也值得，而不是这个赶工的,12
2021-10-23 13:20:31,摽有梅,三星,嗯，中国机长的老味道。,15
2021-07-09 10:46:45,遇见,四星,建议带纸巾前往，2020年的抗疫故事因为真切的经历过，每次看到都不由自主的泪流满面。演员选择很好，表现都不错，张涵予的院长如同定海神针，朱亚文尤其精彩，袁泉演的太真实了。“白衣为甲，逆行出征”，回顾苦难是为了记住最坚强的中国人。,32
2021-07-10 22:24:23,傅的正不了,无评价,如果《中国机长》真实还原了一个事故那么《中国医生》就真实还原了一个故事谢谢导演和演员的呈现，简直太好了，大大小小的故事穿插，心一下一下的揪心。大到院长，医生，医院，中国人的责任小的百姓，保洁员，小家庭，收发室的老板面对突如其来的疫情，我们没有放弃，总结经验，救助更多的患者。张涵予饰演的张定宇院长，从外貌，动作到气场，都很像。朱亚文的一口广普，神来之笔。还有妹妹子枫，眼泪哗哗的流…… 每个角色都立得住，为武汉人民感到骄傲。电影真的很好看，一下子就回到了2020年。春天总会到来，一定要相信！,7
2021-07-09 02:17:24,啸樗,五星,8.0零点场，看的人并不是很多。这个片子告诉我们主旋律电影我们依旧能拍好。感谢奋斗在抗疫战线的每一位同志。,67
2021-08-03 21:56:50,椿,三星,主题很棒，但是内容有点不好描述，个人觉得不是很喜欢,27
2021-08-03 19:10:54,蚊香很弯,四星,我无法用武汉人民的角度去评价这部电影，我只能说故事很好，但是很散,16
2021-07-11 00:21:00,陈焕,二星,没必要，真的没必要。拍成这样还是电影吗？,24
2021-07-19 20:12:50,cozuma,四星,请不要忘记：第一个站起来报名志愿者的是一位女性。,92
2021-07-16 00:58:29,阿梨叭叭,四星,疫情时候就想过 这段日子一定很适合影视化 因为它记录了一个个小家汇成大家的故事 因为它峰回路转 柳暗花明 圆满落幕 生活 就是最好的故事 所以这部影片走到了我们面前,19
2021-07-09 09:45:00,遥远的他,五星,"没有刻意煽情，简单平实的叙述。将武汉金银潭医院的全体医护和病患的故事串联在一起，呈现了真实的疫情众生相。能在如此短的时间内完成拍摄与上映，要为全体台前幕后鼓掌。唯一尬点，欧豪弥留那部分有点多余。",65
2021-07-26 16:11:44,耳朵躲,二星,其实没有剧情可言。更希望它是一部记录片。感觉一直在呼喊医生很幸苦。但感觉还是没有戳动我的点.....更多的让我看到人死亡和除插管还是插管的细节镜头。很让人不适。感觉对医生的理解还是流于表面的表达....,16
2021-07-16 00:00:55,热爱生活了吗,四星,或许只有武汉知道那场战争到底有多苦,25
2021-07-09 12:37:47,幸木一,四星,致敬所有医护工作者 中国人民永远都是最棒的  除了各位演员尤其是张涵予袁泉朱亚文欧豪的精心演绎 我觉得导演的剪辑有点支离破碎之感 片名是中国医生 导演还要构建小人物 流调人员的群像 铺的太大了  外加各种精神意志力的做梦片段 有点不知所云 最后 易烊千玺表演还不错 没有拉胯 那么多明星 最后不看演员表都不知道,26
2021-07-09 12:58:45,rq54188,四星,看了今天零点的首映场，感觉有点类似于纪录片中穿插着几个小故事的场景，感觉还好，可能泪点比较高基本没哭，不过有几个场景确实还是很感人，袁泉独自吃饭听小卖部老板语音……张子枫说，没有爸妈的小孩怎么办，还有看一些穿插的新闻镜头的时候。整体来说故事还是比较完整，可以看看。演员表演也基本没啥问题，四字和荷尔蒙带给了本来有点压抑悲伤主题一些快乐。不过有点出戏的就是张涵予动不动骂人的设定感觉不像医生而像军人一样……,27
2021-07-12 16:26:34,呀,四星,哭了一包纸 忍不住。除了有些地方太拖沓和配乐莫名其妙之外其他都挺好的，超出预期。每一个经历过这场疫情的人都会有很强烈的共鸣，有机会想再去武汉看看。杨小羊医生和陶峻医生真的是全剧唯一让我放松的点了，整片时不时掐着你脖子把紧张感窒息感拉到最高，手术血腥镜头直给真的很震撼，我第一次见有点吓到，医生不容易，护士不容易，每一个人都不容易，感谢我善良勇敢的同胞们为这场疫情做出的贡献。,11
2021-07-08 12:17:32,仲夏夜,五星,这是我在真正接触到临床工作后，第一次从更偏向医生的角度看的医疗相关的影视，难免会在看的时候有所挑剔。但是就像张文宏老师讲的一样，它做的很细致，很难挑出什么bug，而且确实拍到了很多精髓的东西。看完最大的感受就是非常感动，子枫妹妹一个回眸我眼前瞬间模糊。电影拍出了很多医务工作者会面临的现实困境，我相信也许医生的职业生涯中会碰到很多迷茫挫折的瞬间，但医生也有着始终不变的信条，就是治病救人。加油哇，中国医生,49
2021-07-12 08:04:11,Longing,五星,为伟大光荣英雄的中国人民致敬，从来就没什么救世主，感谢这个世界上还有这么一群可爱的中国人🥰,13
2021-07-09 09:58:12,咸咸的土豆片,五星,不要害怕眼前的黑暗，因为总有人会点亮炬火,53
2021-07-10 08:28:44,加菲丢丢,五星,作为在疫情风暴中心的疫情亲历者，很容易与影片共情。感谢医护工作者！感谢全国人民的援助与支持！感谢国家！,30
2021-08-02 16:51:04,这是小号,三星,电影半颗星，题材两星半。,15
2021-07-26 10:40:53,sillage,二星,和电视剧差远了啊，太官方太套路了，只停留在了表面而已，也没有体现疫情的紧张感和医生护士为了人民无私奉献的那种深入人心的感觉……,9
2021-07-09 03:54:25,帕尼Tiffany,五星,有幸在7号抽中了盗梦超前观影名额，尽管去之前做好的准备，还是哭湿了一包纸，医者仁心，电影从疫情还未定性的最初角度开始叙述，将医生的坚持无私奉献和真实的救护现场表现的淋漓尽致，为逆行出征的医生落泪，为经历过至暗时刻的患者落泪，为无偿奉献的志愿者落泪，为英雄城市武汉落泪，电影结尾当屏幕上出现了“武汉重启”“中国加油”几个字，我真实的体会到了在去年疫情期间我没有过的感受和震撼，用生命拯救生命，感谢你和你们，为我们拼过命。,32
2021-07-09 02:22:55,冰镇绿葡萄,五星,中国🇨🇳🐮！！！,39
