"author","title","venue","volume",'pages',"year",'type',"access","key",'doi',"ee","url"
"Vladislav Feofilaktov,Vladimir M. Itsykson",SPIDER - Specification-based Integration Defect Revealer.,CoRR,abs/2202.03943,NaN,2022,Informal Publications,open,journals/corr/abs-2202-03943,NaN,https://arxiv.org/abs/2202.03943,https://dblp.org/rec/journals/corr/abs-2202-03943
"Rahul Agarwal,Narpat Singh Shekhawat,Sandeep Kumar 0001,Anand Nayyar,Basit Qureshi",Improved Feature Selection Method for the Identification of Soil Images Using Oscillating Spider Monkey Optimization.,IEEE Access,9,167128-167139,2021,Journal Articles,open,journals/access/AgarwalSKNQ21,10.1109/ACCESS.2021.3135536,https://doi.org/10.1109/ACCESS.2021.3135536,https://dblp.org/rec/journals/access/AgarwalSKNQ21
"Qianjun Chen,Yongchang Ding,Chang Liu,Jie Liu,Tingting He",Research on Spider Sex Recognition From Images Based on Deep Learning.,IEEE Access,9,120985-120995,2021,Journal Articles,open,journals/access/ChenDLLH21,10.1109/ACCESS.2021.3109120,https://doi.org/10.1109/ACCESS.2021.3109120,https://dblp.org/rec/journals/access/ChenDLLH21
"Aarti Chugh,Vivek Kumar Sharma,Sandeep Kumar 0001,Anand Nayyar,Basit Qureshi,Manjot Kaur Bhatia,Charu Jain",Spider Monkey Crow Optimization Algorithm With Deep Learning for Sentiment Classification and Information Retrieval.,IEEE Access,9,24249-24262,2021,Journal Articles,open,journals/access/ChughS0NQBJ21,10.1109/ACCESS.2021.3055507,https://doi.org/10.1109/ACCESS.2021.3055507,https://dblp.org/rec/journals/access/ChughS0NQBJ21
"Amal Ibrahim Mahmood,Sadik Kamel Gharghan,Mohamed A. A. Eldosoky,Mustafa Falah Mahmood,Ahmed M. Soliman",Wireless Power Transfer Based on Spider Web-Coil for Biomedical Implants.,IEEE Access,9,167674-167686,2021,Journal Articles,open,journals/access/MahmoodGEMS21,10.1109/ACCESS.2021.3136817,https://doi.org/10.1109/ACCESS.2021.3136817,https://dblp.org/rec/journals/access/MahmoodGEMS21
"Emine Bas,Erkan Ülker",Dıscrete socıal spıder algorıthm for the travelıng salesman problem.,Artif. Intell. Rev.,54,1063-1085,2021,Journal Articles,closed,journals/air/BasU21,10.1007/S10462-020-09869-8,https://doi.org/10.1007/s10462-020-09869-8,https://dblp.org/rec/journals/air/BasU21
"Emine Bas,Erkan Ülker",Improved social spider algorithm for large scale optimization.,Artif. Intell. Rev.,54,3539-3574,2021,Journal Articles,closed,journals/air/BasU21a,10.1007/S10462-020-09931-5,https://doi.org/10.1007/s10462-020-09931-5,https://dblp.org/rec/journals/air/BasU21a
"Emine Bas,Erkan Ülker",Comparison between SSA and SSO algorithm inspired in the behavior of the social spider for constrained optimization.,Artif. Intell. Rev.,54,5583-5631,2021,Journal Articles,closed,journals/air/BasU21b,10.1007/S10462-021-10035-X,https://doi.org/10.1007/s10462-021-10035-x,https://dblp.org/rec/journals/air/BasU21b
"Zhedong Wang,Chao Qian 0012,Tong Cai,Longwei Tian,Zhixiang Fan,Jian Liu,Yichen Shen,Li Jing,Jianming Jin,Er-Ping Li,Bin Zheng,Hongsheng Chen",Demonstration of Spider-Eyes-Like Intelligent Antennas for Dynamically Perceiving Incoming Waves.,Adv. Intell. Syst.,3,2100066,2021,Journal Articles,open,journals/aisy/WangQCTFLSJJLZC21,10.1002/AISY.202100066,https://doi.org/10.1002/aisy.202100066,https://dblp.org/rec/journals/aisy/WangQCTFLSJJLZC21
"Feifei Song,Jianjie Zhou",The partite saturation number of spider.,Appl. Math. Comput.,394,125793,2021,Journal Articles,closed,journals/amc/SongZ21,10.1016/J.AMC.2020.125793,https://doi.org/10.1016/j.amc.2020.125793,https://dblp.org/rec/journals/amc/SongZ21
"Haijuan Yang,Jianjun Cheng,Xing Su,Wenbo Zhang,Shiyan Zhao,Xiaoyun Chen",A spiderweb model for community detection in dynamic networks.,Appl. Intell.,51,5157-5188,2021,Journal Articles,closed,journals/apin/YangCSZZC21,10.1007/S10489-020-02059-7,https://doi.org/10.1007/s10489-020-02059-7,https://dblp.org/rec/journals/apin/YangCSZZC21
"Xiaoyun Xia,Weizhi Liao,Yu Zhang,Xue Peng",A discrete spider monkey optimization for the vehicle routing problem with stochastic demands.,Appl. Soft Comput.,111,107676,2021,Journal Articles,closed,journals/asc/XiaLZP21,10.1016/J.ASOC.2021.107676,https://doi.org/10.1016/j.asoc.2021.107676,https://dblp.org/rec/journals/asc/XiaLZP21
"Salvador Gutiérrez,Inés Hernández,Sara Ceballos,Ignacio Barrio,Ana Díez Navajas,Javier Tardáguila",Deep learning for the differentiation of downy mildew and spider mite in grapevine under field conditions.,Comput. Electron. Agric.,182,105991,2021,Journal Articles,closed,journals/cea/GutierrezHCBNT21,10.1016/J.COMPAG.2021.105991,https://doi.org/10.1016/j.compag.2021.105991,https://dblp.org/rec/journals/cea/GutierrezHCBNT21
"Scaria Alex,T. Dhiliphan Rajkumar",Spider bird swarm algorithm with deep belief network for malicious JavaScript detection.,Comput. Secur.,107,102301,2021,Journal Articles,closed,journals/compsec/AlexR21,10.1016/J.COSE.2021.102301,https://doi.org/10.1016/j.cose.2021.102301,https://dblp.org/rec/journals/compsec/AlexR21
"Ali Hosseinalipour,Farhad Soleimanian Gharehchopogh,Mohammad Masdari,Ali Khademi",Toward text psychology analysis using social spider optimization algorithm.,Concurr. Comput. Pract. Exp.,33,NaN,2021,Journal Articles,closed,journals/concurrency/HosseinalipourG21,10.1002/CPE.6325,https://doi.org/10.1002/cpe.6325,https://dblp.org/rec/journals/concurrency/HosseinalipourG21
"M. Thillai Rani,S. Suresh Kumar",Spider monkey optimization-based high-level synthesis in VLSI circuits for runtime adaptability.,Concurr. Comput. Pract. Exp.,33,NaN,2021,Journal Articles,closed,journals/concurrency/RaniK21,10.1002/CPE.5280,https://doi.org/10.1002/cpe.5280,https://dblp.org/rec/journals/concurrency/RaniK21
"Conghui Zhang,Shaopeng Guan,Yi Li,Wenwen Sun",SMOSA - Spider monkey optimization-based scheduling algorithm for heterogeneous Hadoop.,Concurr. Comput. Pract. Exp.,33,NaN,2021,Journal Articles,closed,journals/concurrency/ZhangGLS21,10.1002/CPE.6368,https://doi.org/10.1002/cpe.6368,https://dblp.org/rec/journals/concurrency/ZhangGLS21
"Gábor Wiener,Maho Yokota,Carol T. Zamfirescu",Spiders everywhere.,Discret. Appl. Math.,289,516-522,2021,Journal Articles,open,journals/dam/WienerYZ21,10.1016/J.DAM.2020.11.017,https://doi.org/10.1016/j.dam.2020.11.017,https://dblp.org/rec/journals/dam/WienerYZ21
"Yanmei Hong,Qinghai Liu,Changhong Lu,Qingjie Ye",Connectivity keeping caterpillars and spiders in 2-connected graphs.,Discret. Math.,344,112236,2021,Journal Articles,closed,journals/dm/HongLLY21,10.1016/J.DISC.2020.112236,https://doi.org/10.1016/j.disc.2020.112236,https://dblp.org/rec/journals/dm/HongLLY21
"Sandeep Kumar 0001,Basudev Sharma,Vivek Kumar Sharma,Ramesh Chandra Poonia",Automated soil prediction using bag-of-features and chaotic spider monkey optimization algorithm.,Evol. Intell.,14,293-304,2021,Journal Articles,closed,journals/evi/KumarSSP21,10.1007/S12065-018-0186-9,https://doi.org/10.1007/s12065-018-0186-9,https://dblp.org/rec/journals/evi/KumarSSP21
"Sayar Singh Shekhawat,Sakshi Shringi,Harish Sharma",Twitter sentiment analysis using hybrid Spider Monkey optimization method.,Evol. Intell.,14,1307-1316,2021,Journal Articles,closed,journals/evi/ShekhawatSS21,10.1007/S12065-019-00334-2,https://doi.org/10.1007/s12065-019-00334-2,https://dblp.org/rec/journals/evi/ShekhawatSS21
"Daniel Brice,Zara Gibson,Fintan McGuinness,Karen Rafferty",Using Ultrasonic Haptics Within an Immersive Spider Exposure Environment to Provide a Multi-Sensorial Experience.,Frontiers Virtual Real.,2,707731,2021,Journal Articles,open,journals/frvir/BriceGMR21,10.3389/FRVIR.2021.707731,https://doi.org/10.3389/frvir.2021.707731,https://dblp.org/rec/journals/frvir/BriceGMR21
"Sawsan Alshattnawi,Mohammad Al-Marie",Spider monkey optimization algorithm for load balancing in cloud computing environments.,Int. Arab J. Inf. Technol.,18,730-738,2021,Journal Articles,open,journals/iajit/AlshattnawiA21,10.34028/IAJIT/18/5/13,https://doi.org/10.34028/iajit/18/5/13,https://dblp.org/rec/journals/iajit/AlshattnawiA21
"R. Karthick,M. Sundar Rajan",SPIDER-based out-of-order execution scheme for Ht-MPSOC.,Int. J. Adv. Intell. Paradigms,19,28-41,2021,Journal Articles,closed,journals/ijaip/KarthickR21,10.1504/IJAIP.2021.114581,https://doi.org/10.1504/IJAIP.2021.114581,https://dblp.org/rec/journals/ijaip/KarthickR21
Dharmpal Singh,A New Bio-Inspired Social Spider Algorithm.,Int. J. Appl. Metaheuristic Comput.,12,79-93,2021,Journal Articles,closed,journals/ijamc-igi/Singh21,10.4018/IJAMC.2021010105,https://doi.org/10.4018/IJAMC.2021010105,https://dblp.org/rec/journals/ijamc-igi/Singh21
"Behrooz Attaran,Afshin Ghanbarzadeh,Shapour Moradi",A novel evolutionary optimization algorithm inspired in the intelligent behaviour of the hunter spider.,Int. J. Comput. Math.,98,627-655,2021,Journal Articles,closed,journals/ijcm/AttaranGM21,10.1080/00207160.2020.1775820,https://doi.org/10.1080/00207160.2020.1775820,https://dblp.org/rec/journals/ijcm/AttaranGM21
"G. Dinesh,P. Venkatakrishnan,K. Meena alias Jeyanthi",Modified spider monkey optimization - An enhanced optimization of spectrum sharing in cognitive radio networks.,Int. J. Commun. Syst.,34,NaN,2021,Journal Articles,closed,journals/ijcomsys/DineshVJ21,10.1002/DAC.4658,https://doi.org/10.1002/dac.4658,https://dblp.org/rec/journals/ijcomsys/DineshVJ21
"Jyoti Mohanty,Prabina Pattanayak,Arnab Nandi 0002,Krishna Lal Baishnab,Devendra Singh Gurjar,Manish Mandloi",MIMO broadcast scheduling using binary spider monkey optimization algorithm.,Int. J. Commun. Syst.,34,NaN,2021,Journal Articles,closed,journals/ijcomsys/MohantyPNBGM21,10.1002/DAC.4975,https://doi.org/10.1002/dac.4975,https://dblp.org/rec/journals/ijcomsys/MohantyPNBGM21
"Sandip A. Mehta,Dipak M. Adhyaru",Social spider optimisation based identification and optimal control of fractional order system.,Int. J. Model. Identif. Control.,37,80-93,2021,Journal Articles,closed,journals/ijmic/MehtaA21,10.1504/IJMIC.2021.119033,https://doi.org/10.1504/IJMIC.2021.119033,https://dblp.org/rec/journals/ijmic/MehtaA21
"Arun Prakash Agrawal,Ankur Choudhary,Parma Nand",An Efficient Regression Test Suite Optimization Approach Using Hybrid Spider Monkey Optimization Algorithm.,Int. J. Swarm Intell. Res.,12,57-80,2021,Journal Articles,closed,journals/ijsir/AgrawalCN21,10.4018/IJSIR.2021100104,https://doi.org/10.4018/IJSIR.2021100104,https://dblp.org/rec/journals/ijsir/AgrawalCN21
"Nagadevi Darapureddy,Nagaprakash Karatapu,Tirumula Krishna Battula",Optimal weighted hybrid pattern for content based medical image retrieval using modified spider monkey optimization.,Int. J. Imaging Syst. Technol.,31,828-853,2021,Journal Articles,closed,journals/imst/DarapureddyKB21,10.1002/IMA.22475,https://doi.org/10.1002/ima.22475,https://dblp.org/rec/journals/imst/DarapureddyKB21
"E. Elakiya,N. Rajkumar",In text mining - detection of topic and sub-topic using multiple spider hunting model.,J. Ambient Intell. Humaniz. Comput.,12,3571-3580,2021,Journal Articles,closed,journals/jaihc/ElakiyaR21,10.1007/S12652-019-01588-5,https://doi.org/10.1007/s12652-019-01588-5,https://dblp.org/rec/journals/jaihc/ElakiyaR21
"R. Karpaga Priya,S. Venkatanarayanan",Implementation of thermal aware wireless sensor network clustering algorithm based on fuzzy and spider optimized cluster head selection.,J. Ambient Intell. Humaniz. Comput.,12,5245-5255,2021,Journal Articles,closed,journals/jaihc/PriyaV21,10.1007/S12652-020-02002-1,https://doi.org/10.1007/s12652-020-02002-1,https://dblp.org/rec/journals/jaihc/PriyaV21
"Krzysztof Kotowski,Tomasz Smolarczyk,Irena Roterman-Konieczna,Katarzyna Stapor",ProteinUnet - An efficient alternative to SPIDER3-single for sequence-based prediction of protein secondary structures.,J. Comput. Chem.,42,50-59,2021,Journal Articles,open,journals/jcc/KotowskiSRS21,10.1002/JCC.26432,https://doi.org/10.1002/jcc.26432,https://dblp.org/rec/journals/jcc/KotowskiSRS21
"S. Jothi,A. Chandrasekar 0002",Nelder Mead-Based Spider Monkey Optimization for Optimal Power and Channel Allocation in MANET.,J. Circuits Syst. Comput.,30,2150119:1-2150119:21,2021,Journal Articles,closed,journals/jcsc/JothiC21,10.1142/S021812662150119X,https://doi.org/10.1142/S021812662150119X,https://dblp.org/rec/journals/jcsc/JothiC21
"S. Balamurugan,S. Nageswari",Circulating current control of modular multilevel converter by wild spider foraging optimization based fractional order proportional integral derivative controller.,J. Intell. Fuzzy Syst.,41,4127-4147,2021,Journal Articles,closed,journals/jifs/BalamuruganN21,10.3233/JIFS-210528,https://doi.org/10.3233/JIFS-210528,https://dblp.org/rec/journals/jifs/BalamuruganN21
"Qianjin Wei,Chengxian Wang,Yimin Wen",Minimum attribute reduction algorithm based on quick extraction and multi-strategy social spider optimization.,J. Intell. Fuzzy Syst.,40,12023-12038,2021,Journal Articles,closed,journals/jifs/WeiWW21,10.3233/JIFS-210133,https://doi.org/10.3233/JIFS-210133,https://dblp.org/rec/journals/jifs/WeiWW21
"Muhammad Nabeel,Umair Sajid Hashmi,Sabit Ekin,Hazem H. Refai,Adnan A. Abu-Dayya,Ali Imran 0001",SpiderNet - Spectrally Efficient and Energy Efficient Data Aided Demand Driven Elastic Architecture for 6G.,IEEE Netw.,35,256-263,2021,Journal Articles,closed,journals/network/NabeelHERAI21,10.1109/MNET.101.2000635,https://doi.org/10.1109/MNET.101.2000635,https://dblp.org/rec/journals/network/NabeelHERAI21
"Jingping Nie,Yanchen Liu,Yigong Hu,Yuanyuting Wang,Stephen Xia,Matthias Preindl,Xiaofan Jiang 0001","SPIDERS+ - A light-weight, wireless, and low-cost glasses-based wearable platform for emotion sensing and bio-signal acquisition.",Pervasive Mob. Comput.,75,101424,2021,Journal Articles,closed,journals/percom/NieLHWXPJ21,10.1016/J.PMCJ.2021.101424,https://doi.org/10.1016/j.pmcj.2021.101424,https://dblp.org/rec/journals/percom/NieLHWXPJ21
"Alexandre Kawano,Antonino Morassi,Ramón Zaera",Detecting a Prey in a Spider Orb-Web from In-Plane Vibration.,SIAM J. Appl. Math.,81,2297-2322,2021,Journal Articles,closed,journals/siamam/KawanoMZ21,10.1137/20M1372792,https://doi.org/10.1137/20M1372792,https://dblp.org/rec/journals/siamam/KawanoMZ21
"Naela Rizvi,Ramesh Dharavath,Damodar Reddy Edla",Cost and makespan aware workflow scheduling in IaaS clouds using hybrid spider monkey optimization.,Simul. Model. Pract. Theory,110,102328,2021,Journal Articles,closed,journals/simpra/RizviDE21,10.1016/J.SIMPAT.2021.102328,https://doi.org/10.1016/j.simpat.2021.102328,https://dblp.org/rec/journals/simpra/RizviDE21
"J. Sathya Priya,N. Bhaskar,S. Prabakeran",Fuzzy with black widow and spider monkey optimization for privacy-preserving-based crowdsourcing system.,Soft Comput.,25,5831-5846,2021,Journal Articles,closed,journals/soco/PriyaBP21,10.1007/S00500-021-05657-W,https://doi.org/10.1007/s00500-021-05657-w,https://dblp.org/rec/journals/soco/PriyaBP21
"Dong F. Wang,Luwei Zheng,Xu Yang,Yupeng Fu,Suzuki Yuji",A Spider-Web Design for Decreasing Eigen-Frequency With Increasing Amplitude in a PE/ME Composite Energy Convertor.,IEEE Trans. Ind. Electron.,68,5396-5404,2021,Journal Articles,closed,journals/tie/WangZYFY21,10.1109/TIE.2020.2988188,https://doi.org/10.1109/TIE.2020.2988188,https://dblp.org/rec/journals/tie/WangZYFY21
"Zhaolin Lai,Xiang Feng,Huiqun Yu,Fei Luo",A Parallel Social Spider Optimization Algorithm Based on Emotional Learning.,IEEE Trans. Syst. Man Cybern. Syst.,51,797-808,2021,Journal Articles,closed,journals/tsmc/LaiFYL21,10.1109/TSMC.2018.2883329,https://doi.org/10.1109/TSMC.2018.2883329,https://dblp.org/rec/journals/tsmc/LaiFYL21
"M. R. Sivagar,N. Prabakaran",Opposition based Spider Monkey Optimization Algorithm for Load Balancing in LTE Network.,Webology,18,211-229,2021,Journal Articles,open,journals/webology/SivagarP21,10.14704/WEB/V18SI01/WEB18055,https://doi.org/10.14704/web/v18si01/web18055,https://dblp.org/rec/journals/webology/SivagarP21
"K. N. Bhanu,Ashok V. Sutagundar,Vidya S. Bennur",Agent Based Spider-Net Information Gathering in Wireless Sensor Networks.,Wirel. Pers. Commun.,118,3145-3166,2021,Journal Articles,closed,journals/wpc/BhanuSB21,10.1007/S11277-021-08172-1,https://doi.org/10.1007/s11277-021-08172-1,https://dblp.org/rec/journals/wpc/BhanuSB21
"Jayaprakash Mayilsamy,DeviPriya Rangasamy",Load Balancing in Software-Defined Networks Using Spider Monkey Optimization Algorithm for the Internet of Things.,Wirel. Pers. Commun.,116,23-43,2021,Journal Articles,closed,journals/wpc/MayilsamyR21,10.1007/S11277-020-07703-6,https://doi.org/10.1007/s11277-020-07703-6,https://dblp.org/rec/journals/wpc/MayilsamyR21
"Pradeepa Parthiban,R. Pushpa Lakshmi",Violation Detection in Service Level Agreement to Ensure the Privacy in Cloud Community using Chicken Spider Monkey Optimization-Based Deep Belief Network.,Wirel. Pers. Commun.,117,1659-1683,2021,Journal Articles,closed,journals/wpc/ParthibanL21,10.1007/S11277-020-07940-9,https://doi.org/10.1007/s11277-020-07940-9,https://dblp.org/rec/journals/wpc/ParthibanL21
"Shida Wang,Xuncai Zhang,Yanfeng Wang,Ying Niu",Black Widow Spider Algorithm Based on Differential Evolution and Random Disturbance.,BIC-TA,NaN,58-70,2021,Conference and Workshop Papers,closed,conf/bic-ta/WangZWN21,10.1007/978-981-19-1256-6_5,https://doi.org/10.1007/978-981-19-1256-6_5,https://dblp.org/rec/conf/bic-ta/WangZWN21
"Theresa F. Wechsler,Martin Brockelmann,Konstantin Kulik,Felicitas M. Kopf,Martin Kocur,Michael Lankes,Andreas Mühlberger,Christian Wolff 0001",SpEYEders - Adults' and children's affective responses during immersive playful gaze interactions transforming virtual spiders.,CHI PLAY,NaN,74-79,2021,Conference and Workshop Papers,closed,conf/chiplay/WechslerBKKKLM021,10.1145/3450337.3483463,https://doi.org/10.1145/3450337.3483463,https://dblp.org/rec/conf/chiplay/WechslerBKKKLM021
"Maria Tsiodra,Michail Chronopoulos,Matthias Ghering,Eirini Karapistoli,Neofytos Gerosavva,Nicolas Kylilis",The SPIDER Cyber Security Investment Component (CIC).,CSR,NaN,415-421,2021,Conference and Workshop Papers,closed,conf/csr2/TsiodraCGKGK21,10.1109/CSR51186.2021.9527924,https://doi.org/10.1109/CSR51186.2021.9527924,https://dblp.org/rec/conf/csr2/TsiodraCGKGK21
"Benjamin Hättasch,Nadja Geisler,Carsten Binnig",Netted?! How to Improve the Usefulness of Spider & Co.,DESIRES,NaN,38-43,2021,Conference and Workshop Papers,open,conf/desires/HattaschGB21,NaN,http://ceur-ws.org/Vol-2950/paper-08.pdf,https://dblp.org/rec/conf/desires/HattaschGB21
"Max Bender,Jacob Gilbert,Kirk Pruhs",A Poly-log Competitive Posted-Price Algorithm for Online Metrical Matching on a Spider.,FCT,NaN,67-84,2021,Conference and Workshop Papers,closed,conf/fct/BenderGP21,10.1007/978-3-030-86593-1_5,https://doi.org/10.1007/978-3-030-86593-1_5,https://dblp.org/rec/conf/fct/BenderGP21
"Yini Fang,Alec F. Diallo,Chaoyun Zhang,Paul Patras",Spider - Deep Learning-driven Sparse Mobile Traffic Measurement Collection and Reconstruction.,GLOBECOM,NaN,1-6,2021,Conference and Workshop Papers,closed,conf/globecom/FangDZP21,10.1109/GLOBECOM46510.2021.9685804,https://doi.org/10.1109/GLOBECOM46510.2021.9685804,https://dblp.org/rec/conf/globecom/FangDZP21
"Gersende Fort,Eric Moulines,Hoi-To Wai",Geom-Spider-EM - Faster Variance Reduced Stochastic Expectation Maximization for Nonconvex Finite-Sum Optimization.,ICASSP,NaN,3135-3139,2021,Conference and Workshop Papers,closed,conf/icassp/FortMW21,10.1109/ICASSP39728.2021.9414271,https://doi.org/10.1109/ICASSP39728.2021.9414271,https://dblp.org/rec/conf/icassp/FortMW21
"Anja Patricia Regina Lauer,Boris Blagojevic,Otto Lerke,Volker Schwieger,Oliver Sawodny",Flexible Multibody System Model of a Spider Crane with two Extendable Booms.,IECON,NaN,1-6,2021,Conference and Workshop Papers,closed,conf/iecon/LauerBLSS21,10.1109/IECON48115.2021.9589471,https://doi.org/10.1109/IECON48115.2021.9589471,https://dblp.org/rec/conf/iecon/LauerBLSS21
