车名,价格,过户次数,排量,地区,变速箱,颜色,出厂日期
宝马1系 2013款 改款 116i 都市型(进口),30.61万,1次,1.6T,北京(京),自动,蓝色,Oct-13
奔驰E级 2014款 E 200 轿跑版(进口) 0过户,57.53万,0次,2.0T,北京(京),自动,蓝色,Dec-13
宝马3系 2014款 320Li 时尚型,38.95万,1次,2.0T,北京(京),自动,白色,Dec-13
大众 途观 2013款 1.8TSI 自动四驱豪华型,30.05万,4次,1.8T,北京(京),自动,白色,Jan-14
奔驰GLK级 2013款 改款 GLK 300 4MATIC 时尚型,52.65万,1次,3.0L,北京(京),自动,黑色,Jan-14
宝马7系 2013款 730Li 豪华型(进口),111.10万,4次,3.0L,北京(京),自动,咖啡色,Jan-14
路虎 发现 2014款 3.0 V6 SC HSE(进口) 0过户,100.73万,0次,3.0L,北京(京),自动,黑色,Mar-14
奥迪Q5 2013款 40 TFSI 舒适型,52.31万,5次,2.0T,北京(京),自动,咖啡色,Apr-14
MINI Countryman 2013款 1.6T COOPER ALL4 Fun,32.02万,3次,1.6T,北京(京),自动,绿色,May-14
奔驰M级 2014款 ML 400 4MATIC动感型(进口),98.56万,1次,3.0T,北京(京),自动,黑色,May-14
宝马5系 2014款 520Li 典雅型,47.28万,1次,2.0T,北京(京),自动,香槟色,Jun-14
奥迪Q5 2013款 40 TFSI 进取型,41.64万,1次,2.0T,北京(京),自动,银灰色,Jul-14
斯柯达 速派 2013款 1.8TSI 自动雅仕版,23.51万,1次,1.8T,北京(京),自动,红色,Jul-14
英菲尼迪Q50 2014款 2.0T 舒适版(进口),35.36万,1次,2.0T,北京(京),自动,白色,Aug-14
奔驰GLK级 2014款 GLK 260 4MATIC 动感型,43.20万,3次,2.0T,北京(京),自动,黑色,Aug-14
北京BJ40 2014款 2.4L 手动穿越版 0过户,15.93万,0次,2.4L,北京(京),手动,红色,Nov-14
铃木 雨燕 2013款 1.5L 自动标准版,8.66万,2次,1.5L,北京(京),自动,白色,Dec-14
本田 奥德赛 2015款 2.4L 至尊版,32.54万,6次,2.4L,北京(京),自动,蓝色,Dec-14
Jeep 指南者 2015款 2.0L 两驱运动版(进口) 0过户,24.09万,0次,2.0L,北京(京),自动,白色,Jan-15
宝马5系 2014款 525Li 豪华设计套装,54.23万,3次,2.0T,北京(京),自动,香槟色,Jan-15
福特 翼虎 2015款 2.0L GTDi 四驱运动型,28.53万,2次,2.0T,北京(京),自动,白色,Jan-15
奔驰M级 2014款 ML 400 4MATIC动感型(进口),98.56万,2次,3.0T,北京(京),自动,黑色,Jan-15
路虎 揽胜运动版 2015款 3.0 V6 SC HSE Dynamic(进口),119.18万,3次,3.0L,北京(京),自动,白色,Jan-15
宝马5系GT 2014款 528i 领先型(进口) 0过户,74.68万,0次,2.0T,北京(京),自动,香槟色,Feb-15
大众 高尔夫 2015款 1.4TSI 自动旗舰型,19.85万,1次,1.4T,北京(京),自动,白色,Feb-15
宝马X6 2015款 xDrive35i 领先型(进口),99.65万,2次,3.0T,北京(京),自动,白色,Mar-15
宝马3系 2015款 320Li 超悦版时尚型,37.97万,1次,2.0T,北京(京),自动,白色,Mar-15
奔驰S级 2014款 S 320 L 商务型(进口),101.82万,1次,3.0T,北京(京),自动,黑色,May-15
保时捷Macan 2016款 Macan 2.0T,60.57万,1次,2.0T,北京(京),自动,白色,Jun-15
福特 蒙迪欧 2013款 2.0L GTDi200豪华型,24.18万,3次,2.0T,北京(京),自动,白色,Jun-15
MINI Countryman 2014款 1.6T COOPER ALL4 Fun,32.13万,2次,1.6T,北京(京),自动,绿色,Jun-15
MINI 2014款 1.5T COOPER Fun,27.68万,1次,1.5T,北京(京),自动,白色,Jun-15
奥迪A6 2015款 3.0T allroad quattro(进口),65.11万,1次,3.0L,北京(京),自动,黑色,Jun-15
奔驰B级 2015款 B 200 动感型(进口) 0过户,28.44万,0次,1.6T,北京(京),自动,白色,Aug-15
奥迪A3 2015款 Sportback 35 TFSI 百万纪念舒享型,26.03万,1次,1.4T,北京(京),自动,白色,Oct-15
本田 奥德赛 2015款 改款 2.4L 智享版 0过户,28.96万,0次,2.4L,北京(京),自动,白色,Nov-15
保时捷Macan 2016款 Macan 2.0T,60.57万,1次,2.0T,北京(京),自动,咖啡色,Dec-15
奥迪A4L 2016款 30 TFSI 典藏版 自动舒适型,31.47万,3次,1.8T,北京(京),自动,白色,Jan-16
宝马7系 2016款 730Li 豪华型(进口),111.59万,2次,2.0T,北京(京),自动,黑色,Jan-16
英菲尼迪Q50L 2015款 2.0T 悦享版 0过户,33.63万,0次,2.0T,北京(京),自动,白色,Jan-16
奥迪Q5 2016款 40 TFSI 技术型,46.41万,2次,2.0T,北京(京),自动,咖啡色,Jan-16
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座 0过户,32.00万,0次,2.0T,北京(京),自动,黑色,Jan-16
宝马5系 2014款 528i xDrive M运动型 旅行版(进口) 0过户,78.91万,0次,2.0T,北京(京),自动,黑色,Jan-16
宝马3系GT 2016款 328i xDrive 设计套装型(进口),57.20万,3次,2.0T,北京(京),自动,蓝色,Feb-16
奔驰C级 2016款 C 200 轿跑版(进口),41.55万,2次,2.0T,北京(京),自动,白色,Feb-16
本田 奥德赛 2015款 改款 2.4L 智享版 0过户,28.96万,0次,2.4L,北京(京),自动,白色,Feb-16
本田 奥德赛 2015款 改款 2.4L 智享版,28.96万,3次,2.4L,北京(京),自动,白色,Feb-16
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型,33.95万,1次,2.0T,北京(京),自动,咖啡色,Feb-16
别克 君威 2015款 1.6T 领先技术型,20.61万,2次,1.6T,北京(京),自动,香槟色,Feb-16
奔驰GLC级 2016款 GLC 200 4MATIC 0过户,42.98万,0次,2.0T,北京(京),自动,红色,Feb-16
奔驰A级AMG 2016款 AMG A 45 4MATIC,54.06万,1次,2.0T,北京(京),自动,深灰色,Feb-16
英菲尼迪QX60 2014款 2.5T Hybrspecid 两驱卓越版(进口),67.08万,2次,2.5L,北京(京),自动,白色,Feb-16
宝马3系 2016款 320Li 时尚型 0过户,37.97万,0次,2.0T,北京(京),自动,白色,Mar-16
奥迪Q5 2016款 40 TFSI 技术型,46.41万,1次,2.0T,北京(京),自动,白色,Mar-16
奔驰GLE级 2016款 GLE 400 4MATIC(进口),101.17万,1次,3.0T,北京(京),自动,香槟色,Apr-16
北京汽车 绅宝X25 2015款 1.5L 自动精英型 0过户,7.47万,0次,1.5L,北京(京),自动,红色,May-16
奔驰GLC级 2016款 GLC 260 4MATIC 动感型,46.46万,2次,2.0T,北京(京),自动,红色,May-16
宝马4系 2016款 420i 时尚型(进口) 0过户,52.97万,0次,2.0T,北京(京),自动,白色,May-16
别克 昂科威 2016款 20T 两驱精英型,25.61万,3次,1.5T,北京(京),自动,白色,Jun-16
奥迪A3 2016款 Limousine 35 TFSI 领英型 0过户,23.36万,0次,1.4T,北京(京),自动,红色,Jun-16
别克 昂科威 2016款 20T 两驱精英型,25.61万,3次,1.5T,北京(京),自动,白色,Jun-16
奥迪A3 2016款 Limousine 35 TFSI 领英型 0过户,23.36万,0次,1.4T,北京(京),自动,红色,Jun-16
奔驰C级 2016款 C 180 L 运动型,35.36万,1次,1.6T,北京(京),自动,深灰色,Jun-16
宝马5系 2017款 525Li 豪华设计套装,54.23万,1次,2.0T,北京(京),自动,咖啡色,Jul-16
日产 楼兰 2015款 2.5L XV RES Plus 两驱豪雅版 0过户,32.76万,0次,2.5L,北京(京),自动,银灰色,Aug-16
宝马5系 2017款 528Li 豪华设计套装,67.26万,3次,2.0T,北京(京),自动,黑色,Aug-16
本田 飞度 2016款 1.5L LXS CVT舒适天窗版,9.31万,1次,1.5L,北京(京),自动,白色,Sep-16
大众CC 2016款 1.8TSI 尊贵型 0过户,27.44万,0次,1.8T,北京(京),自动,香槟色,Sep-16
奔驰GLC级 2017款 GLC 260 4MATIC 豪华型,48.30万,2次,2.0T,北京(京),自动,黑色,Oct-16
宝马X1 2016款 xDrive20Li 豪华型,41.79万,1次,2.0T,北京(京),自动,白色,Oct-16
宝马X1 2016款 xDrive20Li 豪华型,41.79万,1次,2.0T,北京(京),自动,白色,Oct-16
奔驰GLA级 2016款 GLA 220 4MATIC 时尚型 0过户,34.71万,0次,2.0T,北京(京),自动,红色,Nov-16
斯巴鲁 森林人 2016款 2.0i 时尚导航版,27.12万,2次,2.0L,北京(京),自动,白色,Nov-16
路虎 揽胜极光 2016款 2.0T SE 智耀版,49.71万,2次,2.0T,北京(京),自动,白色,Nov-16
奔驰GLA级 2016款 GLA 200 动感型 0过户,29.29万,0次,1.6T,北京(京),自动,红色,Dec-16
奔驰GLA级 2016款 GLA 200 动感型 0过户,29.29万,0次,1.6T,北京(京),自动,红色,Dec-16
别克GL8 2017款 ES 28T 旗舰型 国V,43.41万,1次,2.0T,北京(京),自动,香槟色,Dec-16
奔驰CLS级 2017款 CLS 400 4MATIC逸彩版(进口),99.73万,1次,3.0T,北京(京),自动,深灰色,Dec-16
奔驰E级 2017款 E 200 运动型 4MATIC,48.61万,3次,2.0T,北京(京),自动,黑色,Jan-17
宝马3系 2017款 320Li M运动型,38.41万,1次,2.0T,北京(京),自动,蓝色,Jan-17
本田 奥德赛 2017款 2.4L 智享版,28.96万,2次,2.4L,北京(京),自动,蓝色,Jan-17
本田 思域 2016款 220TURBO CVT尊耀版,18.44万,1次,1.5T,北京(京),自动,黄色,Jan-17
路虎 揽胜运动版 2017款 3.0 V6 SC HSE(进口),113.76万,1次,3.0L,北京(京),自动,白色,Jan-17
凯迪拉克XT5 2016款 25T 豪华型,42.32万,1次,2.0T,北京(京),自动,黑色,Feb-17
保时捷718 2016款 Boxster 2.0T,64.91万,2次,2.0T,北京(京),自动,黄色,Feb-17
本田XR-V 2017款 1.5L LXi CVT经典版,14.96万,1次,1.5L,北京(京),自动,白色,Mar-17
斯巴鲁 傲虎 2017款 2.5i 运动导航版 EyeSight,35.80万,1次,2.5L,北京(京),自动,白色,Apr-17
日产 骐达 2016款 1.6L CVT智行版 0过户,13.34万,0次,1.6L,北京(京),自动,红色,May-17
日产 骐达 2016款 1.6L CVT智行版 0过户,13.34万,0次,1.6L,北京(京),自动,红色,May-17
标致4008 2017款 350THP 精英版,22.65万,2次,1.6T,北京(京),自动,橙色,May-17
奔驰CLA级 2017款 改款 CLA 200 动感型(进口),29.20万,2次,1.6T,北京(京),自动,白色,Jun-17
奔驰CLA级 2017款 改款 CLA 200 动感型(进口),29.20万,2次,1.6T,北京(京),自动,白色,Jun-17
大众 2016款 途安L 280TSI 自动豪华版,23.86万,1次,1.4T,北京(京),自动,蓝色,Jun-17
江铃 域虎 2016款 2.4L两驱豪华款4G69 0过户,10.62万,0次,2.4L,北京(京),手动,白色,Jul-17
大众 途昂 2017款 380TSI 四驱旗舰版,46.56万,1次,2.0T,北京(京),自动,咖啡色,Aug-17
宝马5系 2018款 530Li xDrive M运动套装,54.15万,1次,2.0T,北京(京),自动,黑色,Aug-17
奔驰C级 2017款 改款 C 200 L 运动版,38.40万,1次,2.0T,北京(京),自动,白色,Sep-17
奔驰C级 2017款 改款 C 200 L 运动版,38.40万,1次,2.0T,北京(京),自动,白色,Sep-17
日产 奇骏 2017款 2.5L CVT豪华版 4WD,26.03万,2次,2.5L,北京(京),自动,白色,Sep-17
smart fortwo 2018款 0.9T 66千瓦硬顶先锋版 国V,15.50万,2次,0.9T,北京(京),自动,蓝色,Sep-17
别克GL8 2017款 ES 28T 豪华型 国V 0过户,40.15万,0次,2.0T,北京(京),自动,银灰色,Oct-17
奥迪Q7 2018款 45 TFSI S line运动型(进口),91.72万,1次,3.0L,北京(京),自动,黑色,Nov-17
MINI 2016款 1.5T COOPER 五门版,26.46万,1次,1.5T,北京(京),自动,蓝色,Dec-17
日产 楼兰 2017款 2.5 S/C HEV XE 四驱混动尊尚版,32.33万,1次,2.5L,北京(京),自动,白色,Dec-17
丰田Sienna 2015款 3.5L 两驱LE(进口),52.10万,4次,3.5L,北京(京),自动,白色,Dec-17
英菲尼迪QX60 2018款 2.5T Hybrid 两驱冠军家庭版(进口),52.08万,2次,2.5L,北京(京),自动,白色,Jan-18
雷克萨斯ES 2015款 300h 豪华版,43.53万,1次,2.5L,北京(京),自动,深灰色,Jan-18
宝马X1 2018款 sDrive18Li 尊享型,32.98万,1次,1.5T,北京(京),自动,红色,Jan-18
林肯MKX 2018款 2.0T 四驱尊雅版,50.89万,1次,2.0T,北京(京),自动,黑色,Feb-18
奔驰GLC级 2018款 GLC 300 4MATIC 动感型,53.41万,3次,2.0T,北京(京),自动,黑色,Feb-18
奔驰V级 2017款 V 260 L 尊贵加长版,66.54万,1次,2.0T,北京(京),自动,黑色,Feb-18
别克GL8 2017款 ES 28T 尊享型 国V,35.81万,1次,2.0T,北京(京),自动,白色,Feb-18
MINI 2016款 1.5T COOPER,25.38万,1次,1.5T,北京(京),自动,白色,Feb-18
英菲尼迪Q50L 2018款 2.0T 逸享版 国V,32.00万,1次,2.0T,北京(京),自动,白色,Mar-18
大众 途观L 2018款 330TSI 自动两驱豪华版,28.20万,1次,2.0T,北京(京),自动,咖啡色,Mar-18
丰田 凯美瑞 2018款 2.0G 豪华版,21.69万,1次,2.0L,北京(京),自动,香槟色,Mar-18
奥迪A6L 2018款 30周年年型 35 TFSI 运动型,48.30万,4次,2.0T,北京(京),自动,黑色,Mar-18
日产 天籁 2016款 改款 2.0L XL舒适版,20.28万,2次,2.0L,北京(京),自动,黑色,Mar-18
奔驰E级 2018款 改款 E 300 L 运动豪华型,54.58万,1次,2.0T,北京(京),自动,黑色,Mar-18
凯迪拉克CT6 2017款 28T 豪华型,53.18万,1次,2.0T,北京(京),自动,黑色,Apr-18
路虎 揽胜极光 2018款 240PS HSE DYNAMIC 致动版,58.59万,2次,2.0T,北京(京),自动,白色,Apr-18
宝马X1 2018款 sDrive18Li 尊享型,32.98万,1次,1.5T,北京(京),自动,咖啡色,May-18
日产 楼兰 2017款 2.5L XL 两驱智尚版,29.18万,1次,2.5L,北京(京),自动,深灰色,May-18
日产 奇骏 2017款 2.5L CVT豪华版 4WD 0过户,26.03万,0次,2.5L,北京(京),自动,白色,May-18
宝马1系 2018款 118i 领先型(进口) 0过户,25.16万,0次,1.5T,北京(京),自动,蓝色,Jun-18
宝马5系 2018款 改款 530Li 领先型 M运动套装,51.77万,2次,2.0T,北京(京),自动,黑色,Jun-18
捷豹F-PACE 2019款 2.0T 四驱R-Sport运动版,64.78万,1次,2.0T,北京(京),自动,蓝色,Jul-18
雷克萨斯NX 2018款 300 全驱 锋尚版,42.33万,1次,2.0T,北京(京),自动,深灰色,Jul-18
日产 奇骏 2017款 2.5L CVT领先版 4WD,24.84万,1次,2.5L,北京(京),自动,白色,Jul-18
奥迪A6L 2018款 30周年年型 TFSI 进取型 0过户,43.72万,0次,1.8T,北京(京),自动,黑色,Aug-18
大众 高尔夫 2018款 230TSI 自动舒适型,16.81万,2次,1.4T,北京(京),自动,白色,Aug-18
奥迪A6L 2018款 30周年年型 TFSI 进取型,43.72万,1次,1.8T,北京(京),自动,黑色,Sep-18
宝马X3 2018款 xDrive28i 豪华套装 国VI,46.22万,1次,2.0T,金华(浙),自动,蓝色,Sep-18
本田 艾力绅 2016款 2.4L 豪华版 0过户,31.78万,0次,2.4L,北京(京),自动,白色,Sep-18
大众 甲壳虫 2018款 180TSI 尚乐型(进口),21.69万,2次,1.2T,北京(京),自动,红色,Oct-18
奥迪Q2L 2018款 35TFSI 时尚致雅型 国V 0过户,25.68万,0次,1.4T,北京(京),自动,蓝色,Nov-18
福特 野马 2019款 2.3L EcoBoost(进口),40.14万,1次,2.3T,枣庄(鲁),自动,黄色,Nov-18
宝马3系 2019款 320Li 时尚型,34.39万,1次,2.0T,北京(京),自动,白色,Nov-18
本田 思域 2016款 220TURBO CVT豪华版 0过户,15.19万,0次,1.5T,茂名(粤),自动,白色,Dec-18
smart fortwo 2019款 0.9T 66千瓦硬顶风擎版 国VI,14.52万,1次,0.9T,长沙(湘),自动,蓝色,Jan-19
宝马X1 2019款 sDrive18Li 尊享型,32.22万,3次,1.5T,临沂(鲁),自动,白色,Feb-19
宝马3系 2019款 320Li M运动曜夜版 0过户,39.06万,0次,2.0T,北京(京),自动,白色,Feb-19
宝马1系 2018款 118i 领先型(进口),25.16万,2次,1.5T,南京(苏),自动,深灰色,Feb-19
宝马X7 2019款 xDrive40i 尊享型M运动套装(进口),118.10万,1次,3.0T,北京(京),自动,黑色,Feb-19
黄海N3 2017款 2.4T手动两驱运动版4K22D4T 0过户,12.14万,0次,2.4T,北京(京),手动,白色,Feb-19
日产 纳瓦拉 2017款 2.5L自动两驱豪华版QR25 0过户,17.56万,0次,2.5L,北京(京),自动,蓝色,Mar-19
Jeep 自由光 2019款 2.0T 四驱探享版 自动驾驶智慧包 国V,27.98万,1次,2.0T,北京(京),自动,白色,Mar-19
日产 纳瓦拉 2017款 2.5L自动两驱豪华版QR25 0过户,17.56万,0次,2.5L,北京(京),自动,蓝色,Mar-19
Jeep 自由光 2019款 2.0T 四驱探享版 自动驾驶智慧包 国V,27.98万,1次,2.0T,北京(京),自动,白色,Mar-19
长城 风骏5 2017款 2.4L欧洲版汽油两驱进取型大双排4G69S4N 0过户,8.34万,0次,2.4L,北京(京),手动,银灰色,Mar-19
奔驰GLA级 2019款 GLA 200 时尚型,30.70万,1次,1.6T,北京(京),自动,红色,Mar-19
宝马X1 2019款 sDrive18Li 尊享型,32.22万,1次,1.5T,厦门(闽),自动,白色,Mar-19
大众 甲壳虫 2018款 180TSI 尚乐型(进口) 0过户,21.69万,0次,1.2T,北京(京),自动,蓝色,Mar-19
路虎 发现神行 2019款 240PS PURE版 国V,39.71万,1次,2.0T,北京(京),自动,白色,Mar-19
丰田 普拉多 2019款 3.5L 自动TX-L尊享版后挂备胎,54.79万,1次,3.5L,北京(京),自动,白色,Apr-19
马自达CX-4 2018款 2.0L 自动两驱蓝天探索版 国VI,17.45万,3次,2.0L,烟台(鲁),自动,红色,Apr-19
丰田 RAV4 2019款 2.0L CVT两驱风尚版 国VI,21.36万,1次,2.0L,南通(苏),自动,白色,Apr-19
哈弗H7 2019款 2.0T 智享型 国V,17.69万,1次,2.0T,北京(京),自动,白色,Apr-19
长城 风骏6 2017款 2.4L汽油四驱精英型4G69 0过户,10.51万,0次,2.4L,北京(京),手动,白色,Apr-19
丰田 亚洲龙 2019款 双擎 2.5L XLE尊贵版 国V,27.98万,1次,2.5L,北京(京),自动,银灰色,May-19
马自达 昂克赛拉 2019款 云控版 三厢 1.5L 自动豪华型 国VI,15.19万,1次,1.5L,西安(陕),自动,白色,May-19
WEY VV6 2019款 2.0T 两驱超豪型 国VI 0过户,16.82万,0次,2.0T,西安(陕),自动,白色,May-19
本田 缤智 2019款 220 TURBO CVT精英版 国VI,15.83万,4次,1.5T,福州(闽),自动,黑色,May-19
丰田C-HR 2018款 2.0L 领先版 国VI,16.48万,2次,2.0L,南宁(桂),自动,香槟色,May-19
宝马5系 2019款 改款 525Li M运动套装,46.34万,1次,2.0T,北京(京),自动,白色,May-19
英菲尼迪QX50 2018款 2.0T 两驱时尚版,38.08万,2次,2.0T,北京(京),自动,蓝色,May-19
本田 雅阁 2018款 260TURBO 豪华版 国VI,21.69万,1次,1.5T,北京(京),自动,白色,Jun-19
日产 纳瓦拉 2017款 2.5L自动两驱豪华版QR25,17.56万,2次,2.5L,北京(京),自动,咖啡色,Jun-19
宝马3系GT 2019款 330i xDrive M运动曜夜版(进口),48.82万,2次,2.0T,北京(京),自动,白色,Jun-19
广汽传祺 传祺GM6 2019款 270T 自动尊享版（七座）国VI,15.17万,3次,1.5T,保定(冀),自动,黑色,Jul-19
凯迪拉克XT6 2020款 28T 六座豪华型,45.56万,1次,2.0T,南通(苏),自动,深灰色,Jul-19
日产 纳瓦拉 2017款 2.5L自动两驱豪华版QR25,17.56万,1次,2.5L,北京(京),自动,黑色,Jul-19
哈弗H7 2019款 2.0T 悦享型 国VI 0过户,16.50万,0次,2.0T,郑州(豫),自动,白色,Jul-19
福特 蒙迪欧 2018款 EcoBoost 180 智控时尚型 国VI,20.93万,2次,1.5T,温州(浙),自动,蓝色,Jul-19
别克GL8 2018款 ES 28T 舒适型 国VI,31.47万,1次,2.0T,北京(京),自动,深灰色,Jul-19
本田UR-V 2017款 240TURBO 两驱豪华版 国V 0过户,29.07万,0次,1.5T,惠州(粤),自动,白色,Jul-19
东风风光ix5 2019款 220T CVT智尚型 国VI,11.92万,2次,1.5T,盐城(苏),自动,红色,Jul-19
福特 蒙迪欧 2018款 EcoBoost 180 智控时尚型 国VI,20.93万,1次,1.5T,重庆(渝),自动,蓝色,Jul-19
丰田C-HR 2018款 2.0L 领先版 国VI 0过户,16.48万,0次,2.0L,佛山(粤),自动,红色,Jul-19
吉利 博越 2020款 1.8TD DCT两驱智联型4G互联版 0过户,13.00万,0次,1.8T,西安(陕),自动,白色,Jul-19
斯柯达 速派 2019款 TSI280 DSG舒适版,18.23万,2次,1.4T,徐州(苏),自动,黑色,Aug-19
别克GL8 2018款 ES 28T 豪华型 国VI,40.15万,1次,2.0T,北京(京),自动,白色,Aug-19
奥迪A4L 2019款 40 TFSI 进取型 国VI,32.65万,3次,2.0T,成都(川),自动,白色,Aug-19
江淮 瑞风M4 2019款 商旅系列 2.0L 手动舒适型 国VI,12.35万,3次,2.0L,石家庄(冀),手动,银灰色,Aug-19
丰田 雷凌 2019款 185T CVT运动版 国VI 0过户,14.52万,0次,1.2T,成都(川),自动,红色,Aug-19
林肯MKZ 2019款 2.0T 尊享版 国VI,29.94万,1次,2.0T,成都(川),自动,白色,Aug-19
大众 桑塔纳 2019款 1.5L 手动风尚版 国VI 0过户,9.43万,0次,1.5L,上海(沪),手动,白色,Aug-19
荣威i5 2020款 1.5L 自动4G互联领豪版 0过户,9.54万,0次,1.5L,楚雄(云),自动,蓝色,Sep-19
本田 艾力绅 2019款 2.0L 混动豪华版,33.63万,2次,2.0L,枣庄(鲁),自动,黑色,Sep-19
宝马1系 2020款 120i M运动套装,24.29万,4次,1.5T,北京(京),自动,红色,Sep-19
比亚迪 宋MAX 2019款 1.5T 自动智联睿逸天窗型 7座 国VI,11.06万,1次,1.5T,石家庄(冀),自动,白色,Sep-19
哈弗F7x 2019款 1.5T 两驱极智科技版 0过户,14.86万,0次,1.5T,烟台(鲁),自动,红色,Oct-19
大众 朗逸 2019款 280TSI DSG舒适版 国VI,15.95万,2次,1.4T,北京(京),自动,白色,Oct-19
宝马1系 2020款 120i 时尚型 0过户,21.58万,0次,1.5T,杭州(浙),自动,深灰色,Oct-19
大众 途昂 2020款 380TSI 四驱豪华版 国VI,39.07万,1次,2.0T,徐州(苏),自动,黑色,Oct-19
领克03 2019款 1.5TD DCT劲Pro版 国VI 0过户,16.15万,0次,1.5T,成都(川),自动,红色,Oct-19
丰田 凯美瑞 2019款 2.5G 豪华版 国VI,23.86万,1次,2.5L,青岛(鲁),自动,黑色,Oct-19
林肯MKZ 2020款 2.0T 尊耀版(进口) 准新车 0过户,37.97万,0次,2.0T,北京(京),自动,白色,Nov-19
宝马5系 2020款 530Li 尊享型 豪华套装,55.02万,1次,2.0T,北京(京),自动,黑色,Nov-19
荣威RX5 MAX新能源 2020款 500PHEV 智能座舱旗舰版,23.42万,2次,1.5T,成都(川),自动,白色,Nov-19
日产 轩逸 2020款 1.6L XL CVT悦享版 0过户,14.10万,0次,1.6L,厦门(闽),自动,白色,Nov-19
雷克萨斯NX 2020款 200 前驱 锋行版 国VI 0过户,32.80万,0次,2.0L,嘉兴(浙),自动,白色,Nov-19
丰田 凯美瑞 2019款 2.5G 豪华版 国VI,23.86万,1次,2.5L,扬州(苏),自动,黑色,Nov-19
日产 轩逸 2020款 1.6L XL CVT智享版 0过户,14.53万,0次,1.6L,佛山(粤),自动,红色,Dec-19
宝马1系 2020款 120i M运动套装,24.29万,3次,1.5T,泉州(闽),自动,白色,Dec-19
长城 炮 2019款 2.0T自动汽油四驱运动版GW4C20B 0过户,16.26万,0次,2.0T,北京(京),自动,香槟色,Dec-19
奥迪A4L 2019款 40 TFSI 进取型 国VI 0过户,32.65万,0次,2.0T,嘉兴(浙),自动,白色,Dec-19
日产 天籁 2020款 2.0L XL Upper 智行版,21.69万,1次,2.0L,金华(浙),自动,黑色,Dec-19
五菱汽车 五菱宏光V 2019款 1.5L劲取版国VI LAR,4.86万,1次,1.5L,淄博(鲁),手动,银灰色,Dec-19
