,totalprice,houseinfo,followinfo
17,2050,4室1厅 | 225.55平米 | 南 北 | 精装 | 11层 | 2006年建 | 塔楼,25人关注 / 11天以前发布
18,525,3室2厅 | 101.29平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼,7人关注 / 9天以前发布
19,715,3室2厅 | 139.69平米 | 南 北 | 简装 | 中楼层(共25层) | 2010年建 | 板塔结合,15人关注 / 12天以前发布
20,1065,3室2厅 | 135.26平米 | 西南 | 简装 | 26层 | 2005年建 | 塔楼,18人关注 / 11天以前发布
21,224,1室1厅 | 62.9平米 | 南 | 精装 | 高楼层(共21层) | 2011年建 | 板楼,57人关注 / 10个月以前发布
22,955,4室2厅 | 163.77平米 | 南 北 | 精装 | 顶层(共4层) | 2004年建 | 板楼,19人关注 / 8天以前发布
23,650,3室2厅 | 145.77平米 | 南 北 | 精装 | 中楼层(共7层) | 2000年建 | 板楼,2人关注 / 4天以前发布
24,395,3室1厅 | 105.81平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 4天以前发布
25,655,3室2厅 | 103.31平米 | 南 北 | 精装 | 底层(共6层) | 2016年建 | 板楼,4人关注 / 6天以前发布
26,1800,4室2厅 | 166.06平米 | 东 南 北 | 精装 | 中楼层(共7层) | 2017年建 | 板楼,10人关注 / 4天以前发布
27,870,3室1厅 | 144.27平米 | 西南 | 精装 | 高楼层(共18层) | 2007年建 | 塔楼,10人关注 / 4天以前发布
28,980,4室2厅 | 213.78平米 | 南 北 | 毛坯 | 顶层(共18层) | 2008年建 | 板楼,2人关注 / 4天以前发布
29,460,3室2厅 | 89.51平米 | 南 北 | 简装 | 低楼层(共17层) | 2012年建 | 板楼,9人关注 / 6天以前发布
30,465,3室1厅 | 134.94平米 | 南 北 | 精装 | 底层(共6层) | 1999年建 | 板楼,21人关注 / 7天以前发布
31,1020,3室2厅 | 141.38平米 | 东南 | 精装 | 31层 | 2002年建 | 塔楼,12人关注 / 10天以前发布
32,595,2室1厅 | 63.89平米 | 南 | 简装 | 低楼层(共16层) | 1988年建 | 塔楼,8人关注 / 8天以前发布
33,1150,3室1厅 | 135.5平米 | 南 北 | 简装 | 高楼层(共27层) | 2011年建 | 板塔结合,13人关注 / 4天以前发布
34,418,2室1厅 | 81.16平米 | 南 北 | 简装 | 13层 | 2016年建 | 板楼,8人关注 / 5天以前发布
35,236,1室1厅 | 59.43平米 | 南 | 简装 | 中楼层(共14层) | 2006年建 | 板塔结合,14人关注 / 7天以前发布
36,605,2室1厅 | 80.14平米 | 南 北 | 精装 | 中楼层(共4层) | 2007年建 | 板楼,12人关注 / 3天以前发布
37,299,2室1厅 | 75.49平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,21人关注 / 7天以前发布
38,168,2室2厅 | 71.97平米 | 南 北 | 简装 | 6层  | 板楼,2人关注 / 6天以前发布
39,490,2室1厅 | 86.63平米 | 南 北 | 毛坯 | 中楼层(共16层) | 2013年建 | 板楼,4人关注 / 5天以前发布
40,775,2室1厅 | 58.45平米 | 南 | 简装 | 中楼层(共16层)  | 塔楼,13人关注 / 4天以前发布
41,472,2室1厅 | 135.11平米 | 南 北 | 简装 | 中楼层(共14层) | 2003年建 | 板楼,11人关注 / 6天以前发布
42,469,2室1厅 | 93.66平米 | 南 | 简装 | 20层 | 2000年建 | 塔楼,26人关注 / 5天以前发布
43,365,2室2厅 | 93.97平米 | 南 北 | 简装 | 8层  | 板楼,7人关注 / 5天以前发布
44,275,3室2厅 | 98.04平米 | 西北 | 简装 | 高楼层(共25层) | 1996年建 | 塔楼,8人关注 / 5天以前发布
45,940,3室1厅 | 62.7平米 | 南 西 北 | 精装 | 顶层(共5层)  | 板楼,10人关注 / 3天以前发布
46,255,2室1厅 | 75.54平米 | 南 西 北 | 简装 | 底层(共6层) | 1991年建 | 板楼,4人关注 / 6天以前发布
47,350,1室1厅 | 76.21平米 | 西 | 精装 | 高楼层(共16层) | 2004年建 | 塔楼,7人关注 / 6天以前发布
48,465,2室1厅 | 102.59平米 | 东南 | 精装 | 28层  | 板塔结合,10人关注 / 6天以前发布
49,235,2室1厅 | 56.79平米 | 南 北 | 精装 | 顶层(共6层)  | 板楼,7人关注 / 3天以前发布
50,810,4室1厅 | 139.5平米 | 南 北 | 精装 | 中楼层(共24层) | 2018年建 | 板楼,0人关注 / 3天以前发布
51,1246,3室1厅 | 146.77平米 | 西南 | 简装 | 低楼层(共23层)  | 塔楼,21人关注 / 21天以前发布
52,2450,4室2厅 | 180.3平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,11人关注 / 18天以前发布
53,1308,3室1厅 | 149.1平米 | 南 西 | 精装 | 中楼层(共22层) | 2007年建 | 板楼,17人关注 / 30天以前发布
54,865,3室2厅 | 130.25平米 | 东南 | 简装 | 中楼层(共27层) | 1998年建 | 塔楼,47人关注 / 31天以前发布
55,1656,3室1厅 | 158.89平米 | 东南 | 精装 | 26层 | 2001年建 | 塔楼,62人关注 / 22天以前发布
56,725,3室1厅 | 84.66平米 | 南 西北 | 简装 | 低楼层(共18层) | 1987年建 | 塔楼,35人关注 / 19天以前发布
57,2100,3室2厅 | 201.56平米 | 南 | 其他 | 中楼层(共25层) | 2000年建 | 塔楼,31人关注 / 19天以前发布
58,500,3室1厅 | 127.42平米 | 南 | 精装 | 高楼层(共28层) | 2002年建 | 塔楼,21人关注 / 23天以前发布
59,848,3室3厅 | 169.09平米 | 南 北 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,38人关注 / 25天以前发布
60,559,3室2厅 | 127.62平米 | 南 北 | 简装 | 中楼层(共13层)  | 板塔结合,26人关注 / 21天以前发布
61,740,4室2厅 | 172.39平米 | 南 北 | 精装 | 中楼层(共4层) | 2002年建 | 暂无数据,23人关注 / 26天以前发布
62,596,3室2厅 | 145.36平米 | 南 西 北 | 简装 | 19层 | 2015年建 | 板楼,11人关注 / 24天以前发布
63,888,3室1厅 | 127.51平米 | 南 北 | 简装 | 14层 | 2006年建 | 板楼,18人关注 / 16天以前发布
64,1556,3室2厅 | 147.18平米 | 南 西 北 | 简装 | 高楼层(共12层) | 2004年建 | 板楼,89人关注 / 29天以前发布
65,590,3室2厅 | 90.09平米 | 北 南 | 精装 | 中楼层(共11层)  | 板楼,18人关注 / 11天以前发布
66,349,1室1厅 | 44.16平米 | 南 北 | 精装 | 中楼层(共18层) | 1992年建 | 板楼,26人关注 / 14天以前发布
67,850,3室1厅 | 124.46平米 | 南 北 | 精装 | 底层(共6层) | 2018年建 | 板楼,9人关注 / 6天以前发布
68,206,2室2厅 | 95.64平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 8天以前发布
69,896,3室2厅 | 136.78平米 | 南 北 | 精装 | 低楼层(共11层) | 2003年建 | 板楼,22人关注 / 12天以前发布
70,535,3室1厅 | 124.94平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 12天以前发布
71,358,2室2厅 | 92.27平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 13天以前发布
72,520,3室1厅 | 136.99平米 | 南 北 | 简装 | 低楼层(共25层) | 2009年建 | 板塔结合,7人关注 / 13天以前发布
73,2120,3室2厅 | 161.39平米 | 南 北 | 精装 | 高楼层(共14层) | 2001年建 | 板楼,24人关注 / 11天以前发布
74,1560,2室2厅 | 113.53平米 | 东 | 精装 | 低楼层(共14层) | 2005年建 | 板塔结合,17人关注 / 10天以前发布
75,2100,3室2厅 | 143.52平米 | 南 西 北 | 精装 | 中楼层(共10层) | 2000年建 | 板楼,47人关注 / 15天以前发布
76,660,3室2厅 | 144.38平米 | 南 北 | 精装 | 中楼层(共18层) | 2008年建 | 板楼,25人关注 / 16天以前发布
77,570,3室1厅 | 140.3平米 | 南 北 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,18人关注 / 10天以前发布
78,1010,3室2厅 | 154.95平米 | 南 北 | 精装 | 高楼层(共10层) | 2006年建 | 板楼,36人关注 / 15天以前发布
79,895,4室2厅 | 151.97平米 | 南 北 | 精装 | 中楼层(共27层) | 2016年建 | 板塔结合,6人关注 / 14天以前发布
80,550,3室2厅 | 132.56平米 | 南 北 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,13人关注 / 8天以前发布
81,378,3室2厅 | 120.19平米 | 东 西 | 精装 | 低楼层(共6层) | 1995年建 | 板楼,6人关注 / 11天以前发布
82,1898,2室1厅 | 105.46平米 | 南 北 | 精装 | 中楼层(共8层) | 2009年建 | 板塔结合,17人关注 / 12天以前发布
83,1315,5室2厅 | 284.78平米 | 南 北 | 精装 | 2层 | 2004年建 | 板楼,10人关注 / 10天以前发布
84,1230,3室2厅 | 140.02平米 | 南 北 | 精装 | 底层(共9层) | 2005年建 | 板塔结合,64人关注 / 14天以前发布
85,568,3室2厅 | 123.54平米 | 南 北 | 毛坯 | 高楼层(共7层) | 2014年建 | 板楼,18人关注 / 14天以前发布
86,468,3室2厅 | 137.83平米 | 南 北 | 其他 | 中楼层(共6层) | 2001年建 | 板楼,8人关注 / 9天以前发布
87,452,3室2厅 | 110.73平米 | 南 北 | 简装 | 顶层(共6层) | 2004年建 | 板楼,12人关注 / 9天以前发布
88,1180,5室2厅 | 245.67平米 | 南 北 | 精装 | 6层 | 1996年建 | 板楼,11人关注 / 10天以前发布
89,1200,5室2厅 | 215.53平米 | 东 南 西 北 | 精装 | 2层  | 暂无数据 | 独栋别墅 ,32人关注 / 12天以前发布
90,1199,3室1厅 | 84.88平米 | 南 北 | 精装 | 中楼层(共7层) | 2005年建 | 板楼,8人关注 / 5天以前发布
91,538,3室2厅 | 82.98平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,24人关注 / 22天以前发布
92,1360,2室1厅 | 112.15平米 | 南 | 精装 | 高楼层(共13层) | 2004年建 | 板楼,24人关注 / 30天以前发布
93,693,2室1厅 | 68.69平米 | 南 北 | 精装 | 顶层(共6层)  | 板楼,40人关注 / 25天以前发布
94,730,1室1厅 | 48.2平米 | 南 | 简装 | 顶层(共18层) | 1992年建 | 塔楼,24人关注 / 18天以前发布
95,564,2室1厅 | 73.63平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,24人关注 / 16天以前发布
96,555,3室1厅 | 67.59平米 | 南 北 | 精装 | 中楼层(共5层) | 1982年建 | 板楼,34人关注 / 16天以前发布
97,1189,3室1厅 | 119.01平米 | 西南 北 | 简装 | 16层 | 2000年建 | 塔楼,17人关注 / 15天以前发布
98,255,2室1厅 | 73.46平米 | 南 | 简装 | 高楼层(共15层) | 2012年建 | 板楼,36人关注 / 12天以前发布
99,1350,3室1厅 | 177.36平米 | 南 东北 | 简装 | 低楼层(共24层) | 1999年建 | 塔楼,42人关注 / 16天以前发布
100,438,3室1厅 | 104.5平米 | 南 | 精装 | 中楼层(共15层) | 2014年建 | 板塔结合,18人关注 / 13天以前发布
101,460,3室1厅 | 66.9平米 | 南 北 | 简装 | 底层(共6层) | 1980年建 | 板楼,30人关注 / 15天以前发布
102,215,1室1厅 | 51.9平米 | 南 | 简装 | 28层 | 2013年建 | 板楼,6人关注 / 8天以前发布
103,105,2室1厅 | 75.23平米 | 南 | 简装 | 中楼层(共15层)  | 板楼,5人关注 / 4天以前发布
104,950,3室1厅 | 77.59平米 | 南 北 | 简装 | 底层(共5层) | 1986年建 | 板楼,16人关注 / 13天以前发布
105,699,3室1厅 | 98.49平米 | 东 南 北 | 精装 | 中楼层(共4层) | 1961年建 | 板楼,3人关注 / 11天以前发布
106,880,3室1厅 | 127.09平米 | 南 北 | 精装 | 中楼层(共30层) | 2005年建 | 塔楼,10人关注 / 11天以前发布
107,335,3室1厅 | 85.08平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,4人关注 / 12天以前发布
108,319,2室1厅 | 69.76平米 | 东 南 | 简装 | 中楼层(共26层)  | 塔楼,25人关注 / 12天以前发布
109,665,1室1厅 | 62.84平米 | 西南 | 精装 | 低楼层(共28层) | 2006年建 | 板塔结合,21人关注 / 10天以前发布
110,635,2室1厅 | 50.8平米 | 南 | 精装 | 中楼层(共5层) | 1980年建 | 板楼,14人关注 / 10天以前发布
111,365,2室1厅 | 59.99平米 | 南 北 | 简装 | 中楼层(共14层) | 1983年建 | 板楼,16人关注 / 8天以前发布
112,285,1室1厅 | 59.42平米 | 西 | 精装 | 高楼层(共12层) | 2004年建 | 板塔结合,49人关注 / 15天以前发布
113,639,2室1厅 | 105.91平米 | 西南 | 简装 | 高楼层(共26层)  | 塔楼,1人关注 / 7天以前发布
114,393,4室1厅 | 97.34平米 | 南 北 | 精装 | 顶层(共20层) | 2016年建 | 板塔结合,6人关注 / 10天以前发布
115,445,3室1厅 | 117.67平米 | 南 北 | 简装 | 底层(共8层) | 2011年建 | 板楼,11人关注 / 14天以前发布
116,580,2室1厅 | 87.6平米 | 南 | 简装 | 低楼层(共34层) | 2016年建 | 板楼,18人关注 / 11天以前发布
117,495,2室1厅 | 88.48平米 | 南 西 | 简装 | 低楼层(共24层) | 2000年建 | 塔楼,47人关注 / 14天以前发布
118,565,1室1厅 | 54.4平米 | 东南 | 精装 | 低楼层(共18层) | 1990年建 | 塔楼,8人关注 / 11天以前发布
119,358,3室1厅 | 96.91平米 | 东南 北 | 简装 | 低楼层(共20层)  | 塔楼,18人关注 / 10天以前发布
120,265,2室1厅 | 64.76平米 | 西 北 | 精装 | 低楼层(共6层) | 1997年建 | 塔楼,27人关注 / 13天以前发布
121,399,2室1厅 | 79.03平米 | 南 北 | 精装 | 28层 | 2014年建 | 板楼,6人关注 / 15天以前发布
122,423,2室1厅 | 85.56平米 | 南 | 简装 | 低楼层(共18层) | 2003年建 | 板楼,26人关注 / 9天以前发布
123,528,3室1厅 | 77.66平米 | 西南 | 精装 | 低楼层(共12层) | 1991年建 | 板塔结合,25人关注 / 11天以前发布
124,464,2室2厅 | 86平米 | 西南 | 精装 | 中楼层(共15层)  | 板楼,18人关注 / 14天以前发布
125,339,2室1厅 | 65.5平米 | 东 南 | 简装 | 低楼层(共24层)  | 塔楼,24人关注 / 9天以前发布
126,520,1室1厅 | 41.92平米 | 南 | 简装 | 6层 | 1990年建 | 板楼,12人关注 / 13天以前发布
127,769,2室1厅 | 64.74平米 | 南 北 | 简装 | 中楼层(共6层) | 1991年建 | 板楼,15人关注 / 9天以前发布
128,190,2室1厅 | 84.32平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,14人关注 / 13天以前发布
129,638,2室1厅 | 50.37平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,29人关注 / 10天以前发布
130,536,2室1厅 | 73.12平米 | 西南 | 精装 | 中楼层(共18层) | 1995年建 | 塔楼,21人关注 / 8天以前发布
131,820,2室1厅 | 85.78平米 | 东南 | 简装 | 底层(共24层) | 2002年建 | 塔楼,22人关注 / 9天以前发布
132,660,1室1厅 | 47.36平米 | 西 | 精装 | 高楼层(共13层) | 1999年建 | 板楼,0人关注 / 2天以前发布
133,470,1室1厅 | 67.15平米 | 南 北 | 精装 | 中楼层(共25层) | 2006年建 | 板塔结合,12人关注 / 2天以前发布
134,989,3室2厅 | 153.59平米 | 南 北 | 精装 | 高楼层(共16层) | 2014年建 | 板楼,25人关注 / 11天以前发布
135,489,2室1厅 | 57.42平米 | 西南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,6人关注 / 15天以前发布
136,145,2室1厅 | 59.84平米 | 南 北 | 简装 | 底层(共6层) | 1992年建 | 板楼,3人关注 / 12天以前发布
137,378,2室1厅 | 80.2平米 | 西北 | 简装 | 高楼层(共11层) | 2005年建 | 板塔结合,9人关注 / 3天以前发布
138,550,2室1厅 | 79.52平米 | 东北 | 精装 | 27层 | 2007年建 | 塔楼,32人关注 / 13天以前发布
139,410,3室1厅 | 89.83平米 | 南 | 精装 | 高楼层(共20层) | 2011年建 | 板楼,4人关注 / 4天以前发布
140,379,2室1厅 | 57.1平米 | 南 北 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,35人关注 / 13天以前发布
141,495,3室2厅 | 122.71平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 10天以前发布
142,800,2室1厅 | 94.75平米 | 西南 | 简装 | 底层(共28层) | 2010年建 | 板塔结合,3人关注 / 2天以前发布
143,520,2室1厅 | 53.24平米 | 东 西 | 精装 | 中楼层(共5层) | 1978年建 | 板楼,45人关注 / 9天以前发布
144,191,2室1厅 | 55.91平米 | 南 北 | 精装 | 顶层(共5层) | 1979年建 | 板楼,27人关注 / 6天以前发布
145,309,2室1厅 | 63.26平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,16人关注 / 10天以前发布
146,278,2室1厅 | 68.57平米 | 东 南 | 简装 | 高楼层(共24层) | 2005年建 | 板塔结合,23人关注 / 7天以前发布
147,580,2室1厅 | 89.17平米 | 南 北 | 精装 | 高楼层(共22层) | 2011年建 | 板楼,41人关注 / 9天以前发布
148,920,2室1厅 | 96.13平米 | 南 | 精装 | 21层 | 2005年建 | 板塔结合,8人关注 / 15天以前发布
149,712,2室1厅 | 91.04平米 | 南 北 | 精装 | 顶层(共16层) | 2005年建 | 板楼,10人关注 / 10天以前发布
150,810,2室1厅 | 73.53平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 9天以前发布
151,540,2室1厅 | 78.05平米 | 东南 | 精装 | 24层 | 2001年建 | 塔楼,12人关注 / 13天以前发布
152,860,3室2厅 | 165.19平米 | 南 北 | 精装 | 高楼层(共31层) | 2013年建 | 板楼,11人关注 / 8天以前发布
153,1098,3室1厅 | 71平米 | 南 西 北 | 毛坯 | 低楼层(共16层)  | 板塔结合,53人关注 / 14天以前发布
154,519,3室1厅 | 110.84平米 | 南 西 北 | 精装 | 中楼层(共28层) | 2014年建 | 板塔结合,10人关注 / 15天以前发布
155,215,1室1厅 | 48.21平米 | 南 | 简装 | 高楼层(共25层) | 2013年建 | 塔楼,3人关注 / 6天以前发布
156,435,2室1厅 | 55.9平米 | 南 | 精装 | 底层(共5层) | 1989年建 | 板楼,44人关注 / 14天以前发布
157,739,3室1厅 | 107.1平米 | 南 北 | 简装 | 中楼层(共14层) | 2014年建 | 板楼,19人关注 / 11天以前发布
158,758,2室1厅 | 84.46平米 | 东 | 精装 | 低楼层(共12层) | 2003年建 | 板塔结合,17人关注 / 9天以前发布
159,850,2室1厅 | 77.32平米 | 南 北 | 精装 | 11层 | 2008年建 | 板楼,31人关注 / 14天以前发布
160,340,2室1厅 | 70.91平米 | 南 北 | 精装 | 顶层(共18层) | 2013年建 | 板楼,30人关注 / 10天以前发布
161,568,2室1厅 | 77.02平米 | 西 | 精装 | 24层 | 2008年建 | 塔楼,25人关注 / 9天以前发布
162,528,2室1厅 | 58.3平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,26人关注 / 14天以前发布
163,445,2室1厅 | 58.77平米 | 东 西北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,56人关注 / 9天以前发布
164,289,3室1厅 | 80.81平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,47人关注 / 14天以前发布
165,935,2室2厅 | 96.05平米 | 东 南 北 | 简装 | 低楼层(共6层) | 2010年建 | 板楼,33人关注 / 15天以前发布
166,333,3室1厅 | 121.22平米 | 南 北 | 简装 | 中楼层(共7层) | 2005年建 | 板楼,15人关注 / 8天以前发布
167,850,3室2厅 | 142.71平米 | 南 北 | 简装 | 底层(共20层) | 2010年建 | 板楼,138人关注 / 5个月以前发布
168,535,3室2厅 | 132.17平米 | 南 北 | 精装 | 低楼层(共7层) | 2001年建 | 板楼,40人关注 / 5个月以前发布
169,548,2室1厅 | 104.33平米 | 南 北 | 精装 | 中楼层(共21层) | 2005年建 | 板楼,11人关注 / 5天以前发布
170,860,3室1厅 | 137.63平米 | 南 北 | 其他 | 23层 | 2005年建 | 塔楼,10人关注 / 5天以前发布
171,718,3室2厅 | 132.64平米 | 南 北 | 简装 | 5层 | 1999年建 | 板楼,11人关注 / 8天以前发布
172,535,2室1厅 | 88.22平米 | 南 | 简装 | 低楼层(共18层) | 2010年建 | 板楼,6人关注 / 4天以前发布
173,360,2室1厅 | 84.42平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,8人关注 / 8天以前发布
174,220,2室1厅 | 52.67平米 | 南 北 | 精装 | 底层(共5层) | 1980年建 | 板楼,14人关注 / 8天以前发布
175,410,2室1厅 | 95.36平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,2人关注 / 5天以前发布
176,359,2室1厅 | 96.72平米 | 南 北 | 简装 | 中楼层(共5层) | 2003年建 | 板楼,10人关注 / 4天以前发布
177,1120,2室1厅 | 83.07平米 | 南 北 | 精装 | 中楼层(共21层) | 2011年建 | 板塔结合,6人关注 / 5天以前发布
178,385,2室1厅 | 98.43平米 | 南 北 | 简装 | 中楼层(共6层) | 2001年建 | 板楼,0人关注 / 5天以前发布
179,348,2室1厅 | 63.59平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,46人关注 / 6天以前发布
180,359,2室1厅 | 96.72平米 | 南 北 | 简装 | 中楼层(共5层) | 2003年建 | 板楼,10人关注 / 4天以前发布
181,1120,2室1厅 | 83.07平米 | 南 北 | 精装 | 中楼层(共21层) | 2011年建 | 板塔结合,6人关注 / 5天以前发布
182,320,2室1厅 | 83.08平米 | 南 | 精装 | 中楼层(共20层) | 2016年建 | 板楼,11人关注 / 8天以前发布
183,360,2室1厅 | 84.42平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,8人关注 / 8天以前发布
184,220,2室1厅 | 52.67平米 | 南 北 | 精装 | 底层(共5层) | 1980年建 | 板楼,14人关注 / 8天以前发布
185,699,2室1厅 | 94.86平米 | 西南 | 精装 | 低楼层(共17层) | 2003年建 | 板塔结合,14人关注 / 3天以前发布
186,450,3室1厅 | 124.87平米 | 西北 | 精装 | 顶层(共18层) | 2009年建 | 板塔结合,10人关注 / 5天以前发布
187,385,2室1厅 | 96.27平米 | 东南 | 精装 | 中楼层(共29层) | 2004年建 | 塔楼,3人关注 / 4天以前发布
188,490,2室1厅 | 91.99平米 | 南 | 精装 | 中楼层(共27层) | 2016年建 | 板塔结合,6人关注 / 4天以前发布
189,295,2室1厅 | 87.49平米 | 西 | 简装 | 中楼层(共22层) | 2010年建 | 板塔结合,5人关注 / 4天以前发布
190,215,2室1厅 | 78.28平米 | 南 | 精装 | 顶层(共6层) | 2001年建 | 板楼,9人关注 / 7天以前发布
191,350,2室1厅 | 67.8平米 | 南 北 | 简装 | 低楼层(共7层) | 1994年建 | 板楼,6人关注 / 4天以前发布
192,450,2室1厅 | 108.01平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,10人关注 / 5天以前发布
193,460,2室1厅 | 89.53平米 | 东 西 | 精装 | 高楼层(共7层) | 2012年建 | 板楼,1人关注 / 3天以前发布
194,440,2室1厅 | 91.84平米 | 南 | 精装 | 中楼层(共27层) | 2013年建 | 板塔结合,8人关注 / 6天以前发布
195,459,2室2厅 | 100平米 | 南 北 | 精装 | 低楼层(共15层) | 2007年建 | 板楼,2人关注 / 4天以前发布
196,458,2室2厅 | 76.79平米 | 南 北 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,15人关注 / 3天以前发布
197,306,2室1厅 | 78.69平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,12人关注 / 4天以前发布
198,259,2室1厅 | 61.8平米 | 南 北 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,2人关注 / 4天以前发布
199,345,3室1厅 | 84.62平米 | 南 北 | 简装 | 6层 | 1989年建 | 板楼,7人关注 / 6天以前发布
200,232,2室1厅 | 77.58平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 4天以前发布
201,229,2室1厅 | 62.56平米 | 东 西 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 3天以前发布
202,1150,3室2厅 | 131.2平米 | 东南 西北 | 精装 | 低楼层(共21层) | 1998年建 | 板塔结合,12人关注 / 3天以前发布
203,505,3室1厅 | 115.1平米 | 南 北 | 精装 | 中楼层(共21层) | 2014年建 | 板塔结合,1人关注 / 2天以前发布
204,1180,2室1厅 | 99.2平米 | 南 西 | 简装 | 中楼层(共18层) | 1997年建 | 塔楼,2人关注 / 5天以前发布
205,799,2室1厅 | 66.6平米 | 南 | 精装 | 中楼层(共18层) | 1984年建 | 塔楼,20人关注 / 7天以前发布
206,310,2室2厅 | 88.64平米 | 南 | 精装 | 高楼层(共21层) | 2010年建 | 板楼,6人关注 / 7天以前发布
207,265,2室1厅 | 79.83平米 | 南 北 | 精装 | 低楼层(共14层) | 2016年建 | 板楼,3人关注 / 3天以前发布
208,639,3室1厅 | 93.19平米 | 北 南 东 | 精装 | 中楼层(共9层) | 2013年建 | 板楼,34人关注 / 5天以前发布
209,309,2室2厅 | 89.25平米 | 西 | 精装 | 中楼层(共22层) | 2010年建 | 板塔结合,2人关注 / 2天以前发布
210,460,2室1厅 | 89.53平米 | 东 西 | 精装 | 高楼层(共7层) | 2012年建 | 板楼,1人关注 / 3天以前发布
211,639,3室1厅 | 93.19平米 | 北 南 东 | 精装 | 中楼层(共9层) | 2013年建 | 板楼,34人关注 / 5天以前发布
212,252,1室1厅 | 50.53平米 | 东 西 | 精装 | 顶层(共6层) | 1998年建 | 板楼,27人关注 / 5天以前发布
